Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1287537,-0.1712189,0.9767761,-0.04870605,-0.1734314,0.9836273
-0.1286011,-0.1714325,0.9767609,-0.04840088,-0.1735229,0.9836273
-0.1287079,-0.1714325,0.9767456,-0.04786682,-0.173233,0.9837036
-0.1285706,-0.1710815,0.9768219,-0.04780579,-0.1732483,0.9837036
-0.1286163,-0.1709747,0.9768372,-0.04747009,-0.1727448,0.9838104
-0.1287994,-0.1713409,0.9767456,-0.04707336,-0.1716003,0.9840393
-0.1293335,-0.1717529,0.9766083,-0.04521179,-0.1717072,0.9841003
-0.129776,-0.1716919,0.9765472,-0.04452515,-0.1715851,0.9841461
-0.1296997,-0.173996,0.9761658,-0.04359436,-0.1705322,0.984375
-0.1300507,-0.1767883,0.9756012,-0.04446411,-0.1705017,0.9843445
-0.130661,-0.1768188,0.9755249,-0.04449463,-0.1692352,0.9845581
-0.1305695,-0.1768799,0.9755249,-0.04449463,-0.1692963,0.9845581
-0.1305542,-0.1788483,0.975174,-0.04362488,-0.1697388,0.9845123
-0.130722,-0.1788635,0.9751434,-0.04371643,-0.1712494,0.9842529
-0.1303711,-0.1792755,0.9751129,-0.04367065,-0.170578,0.9843597
-0.1301575,-0.1797638,0.9750519,-0.04362488,-0.1690979,0.9846191
-0.1310883,-0.1811371,0.9746704,-0.0431366,-0.1691437,0.9846344
-0.1299744,-0.1810913,0.9748383,-0.04319763,-0.1691742,0.9846344
-0.1302185,-0.1818237,0.9746552,-0.04466248,-0.1681519,0.9847412
-0.1305847,-0.1819,0.9745941,-0.04475403,-0.1680145,0.9847565
-0.1308136,-0.1828156,0.9743958,-0.0448761,-0.1674347,0.984848
-0.1310425,-0.1824646,0.9744263,-0.04499817,-0.1673584,0.9848633
-0.1325226,-0.1822662,0.9742737,-0.04574585,-0.1671448,0.9848633
-0.1320496,-0.1822968,0.9743195,-0.04580688,-0.1667633,0.9849243
-0.132431,-0.1825409,0.9742279,-0.04624939,-0.1663513,0.9849701
-0.1343079,-0.1811829,0.9742279,-0.04623413,-0.1652985,0.9851532
-0.1348267,-0.1808472,0.9742126,-0.0466156,-0.1663513,0.9849548
-0.1350555,-0.1803741,0.9742737,-0.04655457,-0.1663666,0.9849548
-0.1345215,-0.1806946,0.9742889,-0.04684448,-0.1673279,0.9847717
-0.1345673,-0.1803284,0.97435,-0.04827881,-0.1676636,0.9846497
-0.1343536,-0.1799774,0.9744415,-0.0483551,-0.168045,0.9845886
-0.1343536,-0.1799774,0.9744415,-0.0486908,-0.168045,0.9845734
-0.1349487,-0.1807709,0.9742126,-0.04849243,-0.1680603,0.9845734
-0.1352386,-0.1805573,0.9742126,-0.04833984,-0.1680908,0.9845734
-0.1356812,-0.1804352,0.9741669,-0.04650879,-0.1683044,0.9846344
-0.135788,-0.1802826,0.9741821,-0.04624939,-0.1682587,0.9846497
-0.13591,-0.1802979,0.9741669,-0.04678345,-0.1687317,0.9845428
-0.1320496,-0.1807556,0.9746094,-0.04603577,-0.1646271,0.9852753
-0.1289978,-0.1800842,0.9751434,-0.04525757,-0.1689301,0.9845734
-0.1313934,-0.1804657,0.974762,-0.04476929,-0.169632,0.9844818
-0.1298828,-0.1814728,0.9747772,-0.04568481,-0.1700745,0.9843597
-0.1307678,-0.1812897,0.9746857,-0.04577637,-0.1710205,0.9841919
-0.1306763,-0.1813049,0.9747009,-0.04603577,-0.1719971,0.9840088
-0.1308594,-0.1812897,0.9746704,-0.0460968,-0.1741333,0.9836273
-0.1308746,-0.1811371,0.9747009,-0.04605103,-0.1732178,0.9837952
-0.131134,-0.1817169,0.9745636,-0.0453186,-0.1715698,0.9841156
-0.1306,-0.1816864,0.9746399,-0.04502869,-0.1716003,0.9841309
-0.1306,-0.180603,0.9748383,-0.04530334,-0.1721954,0.9840088
-0.1305389,-0.1806183,0.9748383,-0.04525757,-0.1721802,0.984024
-0.1298523,-0.1806488,0.9749298,-0.04559326,-0.1723175,0.9839783
-0.1296539,-0.1806335,0.9749603,-0.04562378,-0.1721954,0.9839935
-0.1299438,-0.1802979,0.9749756,-0.04693604,-0.1731873,0.9837646
-0.1298981,-0.1802368,0.9749908,-0.04716492,-0.1730804,0.9837646
-0.1302185,-0.180954,0.974823,-0.04743958,-0.1737061,0.9836426
-0.1298676,-0.1800537,0.9750366,-0.04768372,-0.174057,0.9835663
-0.1296387,-0.1799011,0.9750977,-0.04763794,-0.1738281,0.9836121
-0.1296082,-0.1798401,0.9751129,-0.04762268,-0.1737671,0.9836273
-0.1302948,-0.1818848,0.9746399,-0.04718018,-0.1738129,0.9836426
-0.1302795,-0.1818695,0.9746399,-0.04690552,-0.1745605,0.9835205
-0.1296692,-0.1795959,0.9751434,-0.04641724,-0.1757813,0.9833221
-0.1290894,-0.1791382,0.9753113,-0.04644775,-0.1757507,0.9833221
-0.1283875,-0.1795197,0.9753265,-0.04627991,-0.1757355,0.9833374
-0.1287842,-0.1795807,0.9752655,-0.04640198,-0.176178,0.9832611
-0.1285095,-0.1792297,0.9753723,-0.04685974,-0.1766663,0.983139
-0.1285095,-0.1792297,0.9753723,-0.04685974,-0.1766663,0.983139
-0.12854,-0.1794281,0.9753265,-0.04721069,-0.1766968,0.9831238
-0.1294403,-0.1798706,0.9751282,-0.04774475,-0.176651,0.9831085
-0.1295319,-0.1801453,0.9750671,-0.04789734,-0.176712,0.9830933
-0.1301575,-0.1804962,0.9749146,-0.04759216,-0.1767731,0.9830933
-0.1305695,-0.1805115,0.9748535,-0.04763794,-0.1773682,0.9829865
-0.1305847,-0.180542,0.9748535,-0.04766846,-0.1775055,0.9829559
-0.1304626,-0.1809235,0.9747925,-0.0473175,-0.1775818,0.9829559
-0.1305084,-0.1811523,0.9747467,-0.04631042,-0.1777191,0.9829865
-0.1302795,-0.1810303,0.9748077,-0.04641724,-0.178009,0.9829254
-0.1292877,-0.1806793,0.9750061,-0.04681396,-0.1792603,0.9826813
-0.1292572,-0.1807098,0.9749908,-0.0478363,-0.1794891,0.9825897
-0.1289978,-0.1811676,0.9749451,-0.04772949,-0.1793671,0.9826202
-0.1292114,-0.1811829,0.9749146,-0.04750061,-0.1796112,0.9825745
-0.1298523,-0.1807098,0.9749146,-0.04722595,-0.1790009,0.9827118
-0.1299133,-0.1786499,0.975296,-0.04684448,-0.1784821,0.9828186
-0.1299591,-0.1787567,0.9752655,-0.04721069,-0.1769714,0.983078
-0.1306,-0.1789703,0.9751434,-0.04669189,-0.1770477,0.983078
-0.1305847,-0.1762695,0.9756317,-0.04634094,-0.1767273,0.9831543
-0.1305847,-0.1763458,0.9756165,-0.04600525,-0.1767426,0.9831696
-0.1309814,-0.1759949,0.9756317,-0.04510498,-0.1776123,0.9830627
-0.1307831,-0.1755981,0.9757233,-0.04473877,-0.1777191,0.9830475
-0.1290283,-0.1744843,0.9761658,-0.04472351,-0.1778412,0.9830322
-0.1290283,-0.1744385,0.9761658,-0.04411316,-0.1771698,0.9831848
-0.1281281,-0.1736755,0.9764252,-0.04446411,-0.1772003,0.9831543
-0.1281128,-0.1734314,0.9764709,-0.04391479,-0.177597,0.9831085
-0.1271515,-0.1729279,0.9766846,-0.04377747,-0.1766968,0.9832764
-0.1267853,-0.1704254,0.9771729,-0.04309082,-0.1765594,0.9833374
-0.1267548,-0.1703491,0.9771881,-0.04312134,-0.1766205,0.9833221
-0.1264954,-0.169342,0.9774017,-0.0428009,-0.1767273,0.9833221
-0.1258392,-0.168396,0.9776459,-0.04284668,-0.1758575,0.9834747
-0.1261749,-0.1682892,0.9776154,-0.04284668,-0.1766815,0.9833221
-0.1270447,-0.1681213,0.9775391,-0.0433197,-0.1767273,0.9832916
-0.1269836,-0.1681213,0.9775391,-0.04295349,-0.1771393,0.9832458
