Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1225739,-0.1639252,0.9788208,-0.04716492,-0.1546478,0.9868317
-0.1225586,-0.1639557,0.9788208,-0.04911804,-0.1545105,0.9867554
-0.1224976,-0.1636658,0.9788666,-0.05099487,-0.1554565,0.9865112
-0.1224976,-0.16362,0.9788818,-0.05070496,-0.1538391,0.9867859
-0.1220093,-0.1637878,0.9789124,-0.05085754,-0.1552277,0.986557
-0.1219482,-0.1638031,0.9789124,-0.05056763,-0.154068,0.9867554
-0.1212921,-0.1654053,0.9787292,-0.05082703,-0.1551666,0.9865723
-0.1211243,-0.1643829,0.9789276,-0.05046082,-0.1546936,0.9866638
-0.1204987,-0.1646881,0.9789429,-0.04992676,-0.1543884,0.9867401
-0.1203918,-0.1645966,0.9789734,-0.04992676,-0.1547241,0.9866943
-0.1204529,-0.1646118,0.9789581,-0.0496521,-0.1578674,0.9862061
-0.116333,-0.1676941,0.9789429,-0.04936218,-0.16008,0.9858551
-0.1199799,-0.1618652,0.9794769,-0.05989075,-0.1641541,0.9846039
-0.1223755,-0.1617737,0.9792023,-0.05770874,-0.1621552,0.9850616
-0.122406,-0.1614532,0.979248,-0.05532837,-0.1630402,0.9850616
-0.1224365,-0.1613464,0.9792633,-0.05555725,-0.1626434,0.9851074
-0.1226501,-0.1664429,0.9783783,-0.05561829,-0.162323,0.9851532
-0.1221924,-0.1659241,0.9785309,-0.05522156,-0.1629791,0.9850769
-0.121933,-0.1652832,0.9786682,-0.05584717,-0.1618805,0.9852142
-0.121582,-0.1645508,0.9788361,-0.05589294,-0.1616211,0.98526
-0.1216736,-0.1636658,0.9789734,-0.05366516,-0.1613007,0.9854431
-0.1217804,-0.1635895,0.9789734,-0.05322266,-0.1610107,0.9855042
-0.1216278,-0.1631165,0.9790802,-0.05323792,-0.1599884,0.985672
-0.1224213,-0.1630554,0.9789734,-0.05311584,-0.1604767,0.9855957
-0.12323,-0.1628113,0.9789276,-0.05322266,-0.1609344,0.9855194
-0.1227722,-0.1628723,0.9789734,-0.05279541,-0.1609802,0.9855347
-0.1234589,-0.161499,0.9791107,-0.0526886,-0.1609497,0.9855499
-0.1234589,-0.1615143,0.9791107,-0.05204773,-0.1609192,0.9855804
-0.1235657,-0.1628113,0.9788818,-0.05383301,-0.15979,0.985672
-0.1249847,-0.1617432,0.9788818,-0.05335999,-0.1597137,0.9857025
-0.1248169,-0.1618805,0.9788818,-0.05244446,-0.1593475,0.9858246
-0.1241913,-0.1640015,0.9786072,-0.05368042,-0.1575012,0.9860535
-0.1240845,-0.1643066,0.9785614,-0.05354309,-0.157547,0.9860535
-0.1238861,-0.1648254,0.9785004,-0.05281067,-0.1576996,0.9860687
-0.1239014,-0.165329,0.9784088,-0.05331421,-0.157074,0.986145
-0.1238403,-0.1642761,0.9786072,-0.05395508,-0.1572723,0.9860687
-0.1237488,-0.1645203,0.9785767,-0.05331421,-0.1577148,0.9860382
-0.123703,-0.1647797,0.9785309,-0.05328369,-0.1575775,0.9860535
-0.1240387,-0.1642914,0.9785767,-0.05369568,-0.1580505,0.9859619
-0.1241455,-0.1641693,0.9785767,-0.05361938,-0.1572723,0.986084
-0.1237793,-0.1625214,0.9788971,-0.05435181,-0.1575165,0.9860077
-0.1186371,-0.1569519,0.9804382,-0.04536438,-0.1448059,0.9884033
-0.1196442,-0.1495514,0.9814758,-0.03669739,-0.1362305,0.9899902
-0.1195526,-0.1508789,0.9812927,-0.04017639,-0.1390533,0.9894562
-0.1204987,-0.1518707,0.9810181,-0.03723145,-0.1387482,0.989624
-0.1214447,-0.151886,0.980896,-0.03721619,-0.1387329,0.989624
-0.121933,-0.1517792,0.9808502,-0.03668213,-0.1393127,0.989563
-0.1220703,-0.1515198,0.9808807,-0.03729248,-0.1392822,0.9895477
-0.1222076,-0.1515045,0.9808655,-0.03730774,-0.1399689,0.9894409
-0.1224365,-0.1511688,0.9808807,-0.03738403,-0.140152,0.9894104
-0.1225128,-0.1511993,0.9808807,-0.03843689,-0.1397095,0.9894409
-0.1226959,-0.151123,0.9808655,-0.03747559,-0.1400299,0.9894257
-0.1227264,-0.1509857,0.9808807,-0.03846741,-0.1396332,0.9894409
