Position X,Position Y,Position Z
-1.475303,0.7272146,-1.081241
-1.474988,0.7266538,-1.081223
-1.474981,0.7266045,-1.08122
-1.474983,0.7264974,-1.08122
-1.474977,0.7264502,-1.081216
-1.474977,0.7264502,-1.081216
-1.474977,0.7264502,-1.081216
-1.474907,0.7268765,-1.081363
-1.474975,0.7268348,-1.081288
-1.474959,0.7269232,-1.081309
-1.474952,0.7269983,-1.081278
-1.475165,0.7274377,-1.081223
-1.475084,0.7269239,-1.081147
-1.474767,0.7270017,-1.081226
-1.474767,0.7270017,-1.081226
-1.474832,0.7274072,-1.08131
-1.474783,0.7270696,-1.081213
-1.474716,0.7272353,-1.081306
-1.474959,0.7274759,-1.081226
-1.474869,0.7271044,-1.081146
-1.474819,0.7271018,-1.081158
-1.47497,0.7270539,-1.081159
-1.475087,0.7270801,-1.081248
-1.475039,0.7271774,-1.081256
-1.474895,0.7268467,-1.081228
-1.474888,0.7267897,-1.081232
-1.474905,0.7271228,-1.081234
-1.474947,0.727294,-1.080992
-1.475119,0.7271824,-1.081198
-1.475021,0.7268169,-1.081198
-1.474684,0.7273185,-1.081139
-1.474841,0.7271724,-1.081195
-1.474749,0.7266378,-1.081181
-1.474746,0.7272558,-1.081438
-1.474724,0.7274187,-1.081356
-1.475044,0.72734,-1.081307
-1.474768,0.7269351,-1.081293
-1.474614,0.7271674,-1.081377
-1.475039,0.7275608,-1.081257
-1.475025,0.7266796,-1.081255
-1.474803,0.7270348,-1.081211
-1.475106,0.7275047,-1.081173
-1.475106,0.7275047,-1.081173
-1.474679,0.7268529,-1.081164
-1.474657,0.726819,-1.081159
-1.474985,0.7276607,-1.081341
-1.475003,0.727026,-1.081329
-1.474721,0.7267108,-1.081203
-1.474765,0.7266159,-1.081325
-1.474861,0.727293,-1.081403
-1.475049,0.7269933,-1.081326
-1.475109,0.7272024,-1.081284
-1.474905,0.7273972,-1.081425
-1.474992,0.7272925,-1.081387
-1.474919,0.7273135,-1.081284
-1.474845,0.7267268,-1.081275
-1.474771,0.7272396,-1.081302
-1.474967,0.7273841,-1.081213
-1.474828,0.7269053,-1.08118
-1.474448,0.7270572,-1.081294
-1.474409,0.7270451,-1.0813
-1.47432,0.7270358,-1.081309
-1.474274,0.7270396,-1.081324
-1.474442,0.7274945,-1.08132
-1.474663,0.7275112,-1.081189
-1.474412,0.7268364,-1.080958
-1.474396,0.7268195,-1.080936
-1.474478,0.727175,-1.081117
-1.474704,0.7272637,-1.080933
-1.474463,0.7270103,-1.080875
-1.474463,0.7270103,-1.080875
-1.474838,0.7270694,-1.081276
-1.475064,0.7268424,-1.081313
-1.475038,0.7271779,-1.081303
-1.475038,0.7271779,-1.081303
-1.475137,0.7269332,-1.081387
-1.474838,0.7270486,-1.081309
-1.474838,0.7270486,-1.081309
-1.474698,0.7269683,-1.081401
-1.474698,0.7269683,-1.081401
-1.474809,0.7272656,-1.081318
-1.474554,0.7272301,-1.081352
-1.474791,0.7269769,-1.081282
-1.474638,0.7272394,-1.081282
-1.474802,0.7273834,-1.081219
-1.474718,0.7269785,-1.081328
-1.4747,0.7269876,-1.081322
-1.474938,0.7273407,-1.081197
-1.474952,0.727365,-1.08117
-1.474858,0.7268512,-1.081155
-1.474858,0.7268512,-1.081155
-1.474686,0.7271793,-1.081207
-1.475011,0.7271399,-1.081332
-1.475011,0.7271399,-1.081332
-1.474981,0.7271605,-1.081264
-1.475211,0.7271457,-1.081334
-1.475132,0.7270365,-1.08127
-1.474996,0.7271004,-1.081305
-1.474996,0.7271004,-1.081305
-1.475112,0.7271266,-1.081408
-1.475001,0.7270548,-1.081224
-1.47499,0.7270629,-1.081219
-1.47499,0.7270629,-1.081219
-1.475013,0.7270479,-1.081233
-1.475033,0.7270658,-1.081235
-1.475037,0.7270153,-1.081393
-1.475041,0.7270186,-1.081407
-1.475036,0.7269249,-1.081285
-1.474946,0.7268031,-1.081248
-1.474998,0.7272396,-1.081316
-1.475017,0.7272503,-1.081337
-1.475014,0.7271867,-1.081241
-1.474824,0.7269595,-1.081274
-1.474768,0.7271833,-1.081246
-1.474953,0.7269249,-1.081253
-1.474818,0.7267768,-1.081278
-1.475077,0.7268898,-1.081185
-1.474876,0.7271051,-1.081125
-1.474878,0.727124,-1.081111
-1.474711,0.7268369,-1.081209
-1.474777,0.7273824,-1.081256
-1.475167,0.7270944,-1.081172
-1.474945,0.7270112,-1.08124
-1.474875,0.7273524,-1.081166
-1.474868,0.7274029,-1.081174
-1.475086,0.7269559,-1.081192
-1.475086,0.7269559,-1.081192
-1.474812,0.727432,-1.081288
-1.474625,0.7273591,-1.081369
-1.474606,0.7271242,-1.081122
-1.474595,0.7270966,-1.081114
-1.474743,0.7272024,-1.081122
-1.475007,0.7269866,-1.081225
-1.474926,0.7272923,-1.081276
-1.474989,0.7273088,-1.081244
-1.475093,0.7271049,-1.081257
-1.474732,0.7271636,-1.081072
-1.474735,0.7271609,-1.081058
-1.474957,0.7270684,-1.081127
-1.474907,0.7271273,-1.081181
-1.475123,0.7272081,-1.081112
-1.474811,0.7272909,-1.08123
-1.47478,0.7266595,-1.081297
-1.475045,0.7269475,-1.081044
-1.474782,0.7274036,-1.08122
-1.474786,0.7274547,-1.081244
-1.47479,0.7275066,-1.081242
-1.47497,0.7281001,-1.081292
-1.474939,0.7272816,-1.081117
-1.4746,0.7267759,-1.081296
-1.474572,0.7271891,-1.08114
-1.474732,0.7275534,-1.081195
-1.474971,0.7274027,-1.081091
-1.474811,0.7270074,-1.081119
-1.474811,0.7270074,-1.081119
-1.474979,0.7271335,-1.081213
-1.475088,0.727252,-1.081278
-1.474833,0.7270846,-1.081197
-1.47484,0.7269633,-1.081245
-1.474923,0.7273471,-1.08128
-1.474758,0.7267158,-1.081193
-1.474674,0.7268012,-1.081253
-1.474714,0.7268527,-1.081301
-1.475059,0.7274144,-1.081247
-1.474877,0.7268989,-1.081204
-1.474808,0.7266855,-1.081268
-1.474757,0.727519,-1.081214
-1.47471,0.727098,-1.081114
-1.474824,0.7271726,-1.081227
-1.474622,0.7268989,-1.081261
-1.474328,0.7275791,-1.081295
-1.474751,0.7271416,-1.081133
-1.474574,0.726778,-1.081175
-1.474758,0.7274818,-1.081181
-1.474785,0.7276075,-1.081165
-1.474859,0.7271681,-1.081048
-1.474657,0.7273746,-1.081112
-1.474776,0.7274542,-1.081219
-1.475055,0.7271626,-1.08117
-1.474828,0.7270243,-1.08127
-1.474774,0.7270534,-1.081186
-1.474844,0.7269795,-1.081183
-1.474844,0.7269795,-1.081183
-1.474761,0.7271776,-1.081262
-1.47482,0.7268987,-1.081196
-1.474807,0.7271519,-1.081279
-1.474812,0.7272856,-1.081216
-1.474742,0.726686,-1.08111
-1.474689,0.7269251,-1.081343
-1.474712,0.7271559,-1.081217
-1.47471,0.727555,-1.081218
-1.474679,0.7275662,-1.081189
-1.474245,0.7274485,-1.081175
-1.474437,0.7279248,-1.081147
-1.474409,0.7278693,-1.081208
-1.474809,0.7272146,-1.081058
-1.474431,0.7271271,-1.08115
-1.474782,0.7278793,-1.081043
-1.474954,0.7268453,-1.081027
-1.4744,0.7266359,-1.081146
-1.474428,0.7268431,-1.081053
-1.474708,0.7275107,-1.081147
-1.47489,0.7272322,-1.081012
-1.47496,0.7272155,-1.080969
-1.474817,0.7276347,-1.081281
-1.474733,0.7272339,-1.081305
-1.474693,0.7274046,-1.08114
-1.474244,0.7269974,-1.081274
-1.474428,0.7273028,-1.08135
-1.47484,0.7272971,-1.081416
-1.47484,0.7272971,-1.081416
-1.475001,0.7268147,-1.081273
-1.474985,0.7273657,-1.081338
-1.474829,0.7268913,-1.081122
-1.474666,0.7269123,-1.08129
-1.474676,0.7268598,-1.081301
-1.474825,0.7275038,-1.081303
-1.474792,0.7270133,-1.081239
-1.474619,0.7268176,-1.081311
-1.474619,0.7268176,-1.081311
-1.474754,0.7271755,-1.081136
-1.474769,0.7271545,-1.081122
-1.474597,0.7273915,-1.081234
-1.474589,0.7273886,-1.08122
-1.474742,0.7272332,-1.081052
-1.474535,0.7269583,-1.08116
-1.474522,0.7269368,-1.081145
-1.474678,0.7273779,-1.081138
-1.474746,0.7273254,-1.081143
-1.474492,0.7271805,-1.081157
-1.474637,0.7271755,-1.081114
-1.474722,0.7271807,-1.081204
-1.474711,0.7272282,-1.081215
-1.474693,0.7272182,-1.081207
-1.474749,0.7270005,-1.081228
-1.474571,0.7272639,-1.081331
-1.474514,0.7274053,-1.081182
-1.474625,0.7269754,-1.081167
-1.474625,0.7269754,-1.081167
-1.474578,0.7272069,-1.081283
-1.474327,0.727463,-1.081369
-1.474677,0.7271271,-1.081217
-1.474289,0.7272565,-1.081244
-1.474259,0.7272277,-1.081241
-1.474225,0.7271571,-1.08125
-1.47421,0.7271216,-1.081264
-1.474156,0.7271214,-1.081262
-1.474156,0.7271214,-1.081262
-1.475061,0.7262402,-1.081197
-1.474521,0.7268124,-1.081247
-1.474703,0.7274206,-1.081292
-1.47456,0.7274292,-1.081309
-1.474649,0.7271767,-1.081237
-1.474655,0.727169,-1.081248
-1.474744,0.7275677,-1.081427
-1.474833,0.7273142,-1.081186
-1.474388,0.727066,-1.081318
-1.474861,0.7272043,-1.081256
-1.474885,0.7271776,-1.081249
-1.474957,0.7274096,-1.081101
-1.474967,0.7272644,-1.080958
-1.47471,0.7273653,-1.081254
-1.474698,0.7274098,-1.081211
-1.474688,0.7274692,-1.081165
-1.474545,0.7272735,-1.081277
-1.474533,0.7272627,-1.081293
-1.474533,0.7272627,-1.081293
-1.474668,0.727387,-1.081146
-1.474709,0.727154,-1.081278
-1.47493,0.7272322,-1.081231
-1.474838,0.727231,-1.081124
-1.474862,0.7272098,-1.081121
-1.474737,0.7271383,-1.081196
-1.474787,0.7272973,-1.081262
-1.474813,0.7272792,-1.081287
-1.474813,0.7272792,-1.081287
-1.474701,0.7270229,-1.081306
-1.474691,0.7270265,-1.081322
-1.47458,0.7271686,-1.081323
-1.474646,0.7274151,-1.08136
-1.474699,0.7273304,-1.081287
-1.474795,0.7273865,-1.081247
-1.474646,0.7275162,-1.081225
-1.474306,0.7273345,-1.081288
-1.47467,0.7271514,-1.081176
-1.474513,0.7273278,-1.081154
-1.474516,0.7273302,-1.081143
-1.474516,0.7273302,-1.081143
-1.474453,0.7273791,-1.081105
-1.474655,0.7279398,-1.081126
-1.474655,0.7279398,-1.081126
-1.47485,0.7274234,-1.081196
-1.474523,0.7273574,-1.081239
-1.474674,0.7277861,-1.081221
-1.474674,0.7277861,-1.081221
-1.474463,0.7270882,-1.081324
-1.474459,0.7271721,-1.081287
-1.474769,0.7276917,-1.081251
-1.474769,0.7276917,-1.081251
-1.474847,0.727092,-1.081204
-1.474348,0.7270594,-1.081291
-1.474558,0.7275422,-1.081317
-1.474761,0.7272124,-1.081208
-1.474552,0.7271531,-1.08129
-1.474891,0.7270787,-1.081244
-1.474884,0.7272093,-1.081145
-1.474674,0.7271318,-1.081198
-1.474717,0.7273178,-1.081223
-1.474799,0.7273946,-1.081119
-1.474692,0.7273026,-1.081166
-1.474715,0.7273521,-1.081192
-1.474756,0.7271721,-1.081335
-1.474825,0.7271304,-1.081309
-1.474743,0.7273343,-1.081186
-1.474722,0.7272198,-1.081171
-1.47471,0.7271354,-1.081189
-1.474625,0.7274773,-1.081175
-1.474616,0.7272966,-1.081236
-1.47476,0.7272511,-1.081212
-1.474614,0.7271919,-1.081251
-1.474717,0.7274652,-1.081135
-1.474696,0.7271473,-1.081238
-1.474836,0.7272356,-1.08119
-1.474792,0.7273114,-1.081217
-1.474738,0.7272575,-1.081289
-1.474747,0.7272503,-1.081308
-1.474568,0.7269669,-1.081188
-1.474624,0.7273395,-1.081267
-1.47475,0.7273762,-1.081301
-1.474705,0.7275679,-1.081149
-1.474659,0.7272143,-1.081258
-1.474659,0.7272143,-1.081258
-1.474672,0.7272544,-1.081304
-1.474754,0.7270267,-1.081223
-1.474773,0.7270081,-1.081245
-1.474773,0.7269771,-1.081248
-1.474755,0.7269983,-1.0811
-1.474859,0.7264533,-1.081029
-1.47483,0.72681,-1.081269
-1.4749,0.7274477,-1.081336
-1.474872,0.7276208,-1.081212
-1.474847,0.7270408,-1.081169
-1.474605,0.7272277,-1.081252
-1.474733,0.7275579,-1.081183
-1.474769,0.7276416,-1.081208
-1.474779,0.7276824,-1.081216
-1.474773,0.7278976,-1.081173
-1.474834,0.7277503,-1.081357
-1.474412,0.7270625,-1.081191
-1.474385,0.727015,-1.081187
-1.474699,0.7274134,-1.081194
-1.474907,0.7270508,-1.081225
-1.474587,0.7272429,-1.081197
-1.474754,0.7273426,-1.081113
-1.474819,0.7272086,-1.081219
-1.474779,0.7269378,-1.081177
-1.474536,0.7272844,-1.081049
-1.47485,0.7272339,-1.081115
-1.474665,0.7270954,-1.081199
-1.474665,0.7270954,-1.081199
-1.474679,0.7268293,-1.081182
-1.474686,0.7267678,-1.081189
-1.474726,0.7270603,-1.081311
-1.474861,0.7274203,-1.081187
-1.474861,0.7274203,-1.081187
-1.474821,0.7270155,-1.081176
-1.474471,0.7272582,-1.081146
-1.474539,0.7274346,-1.081046
-1.474534,0.7271879,-1.080981
-1.474494,0.7274456,-1.081125
-1.474699,0.7275033,-1.081133
-1.474639,0.7270265,-1.081285
-1.474517,0.7270701,-1.081291
-1.474476,0.7271481,-1.081242
-1.474684,0.727448,-1.08127
-1.47481,0.7272289,-1.081221
-1.474604,0.7272079,-1.081179
-1.474682,0.7273581,-1.081203
-1.474684,0.7272334,-1.081159
-1.474669,0.7273405,-1.081052
-1.474521,0.7269456,-1.081247
-1.474548,0.7272358,-1.081327
-1.474775,0.7274253,-1.081186
-1.474645,0.7268574,-1.081167
-1.474865,0.726944,-1.081321
-1.474891,0.7269354,-1.081332
-1.474928,0.7268939,-1.081347
-1.474928,0.7268939,-1.081347
-1.474969,0.7268751,-1.081356
-1.475009,0.7268739,-1.081394
-1.474679,0.7263687,-1.081132
-1.47467,0.7263145,-1.081124
-1.474699,0.7274799,-1.081173
-1.474726,0.7275233,-1.081174
-1.474712,0.727195,-1.08112
-1.47448,0.7274683,-1.081204
-1.474607,0.727669,-1.081203
-1.474607,0.727669,-1.081203
-1.4745,0.727128,-1.081124
-1.474265,0.7273488,-1.081176
-1.474688,0.7277215,-1.081241
-1.474752,0.7271628,-1.08118
-1.474426,0.7274444,-1.081197
-1.474705,0.727587,-1.081149
-1.474705,0.727587,-1.081149
-1.474577,0.7272611,-1.081163
-1.474242,0.7276313,-1.08109
-1.474617,0.7274683,-1.081126
-1.474517,0.7272882,-1.081201
-1.474579,0.7274325,-1.081166
-1.474786,0.7271721,-1.081216
-1.474803,0.7271552,-1.081209
-1.474538,0.7274249,-1.081268
-1.474597,0.7274468,-1.081184
-1.474619,0.7272122,-1.081161
-1.474619,0.7272122,-1.081161
-1.474601,0.7272251,-1.081211
-1.474613,0.7272003,-1.08121
-1.47458,0.7270129,-1.081245
-1.474422,0.7274518,-1.081265
-1.474532,0.7273622,-1.081364
-1.474386,0.7273719,-1.081319
-1.474296,0.727206,-1.081093
-1.474429,0.7272356,-1.081217
-1.474729,0.7271702,-1.081398
-1.474674,0.7270064,-1.081287
-1.474454,0.7272952,-1.081317
-1.474844,0.7274687,-1.081385
-1.474734,0.727386,-1.081217
-1.474754,0.7273953,-1.081208
-1.474792,0.7278256,-1.081266
-1.474748,0.7275538,-1.081302
-1.474513,0.7274957,-1.081212
-1.474446,0.7272785,-1.081225
-1.474513,0.7272091,-1.081319
-1.474553,0.7271276,-1.081308
-1.474413,0.7270362,-1.081204
-1.474455,0.7270913,-1.081198
-1.474546,0.7273586,-1.081325
-1.47456,0.7273607,-1.08133
-1.474433,0.7268562,-1.081178
-1.474429,0.7268095,-1.08117
-1.47467,0.7273037,-1.081144
-1.47467,0.7273037,-1.081144
-1.474788,0.7270689,-1.081119
-1.474412,0.7274826,-1.081274
-1.474666,0.727387,-1.081208
-1.474596,0.7270567,-1.081219
-1.474394,0.7274704,-1.081322
-1.47434,0.7276146,-1.081229
-1.474477,0.7269831,-1.081179
-1.474429,0.726898,-1.081144
-1.474376,0.727314,-1.081171
-1.474634,0.7273343,-1.081078
-1.474778,0.7273409,-1.081245
-1.474712,0.727231,-1.081227
-1.47464,0.7273445,-1.081193
-1.474732,0.7272458,-1.081371
-1.474489,0.7270803,-1.081317
-1.474636,0.727298,-1.081322
-1.474727,0.7271793,-1.081221
-1.474758,0.7271409,-1.081254
-1.474397,0.7273657,-1.081306
-1.47436,0.727304,-1.081347
-1.474331,0.7274849,-1.081297
-1.474151,0.7273355,-1.081335
-1.474467,0.7277563,-1.081277
-1.4746,0.7272379,-1.081212
-1.474308,0.7273946,-1.081249
-1.474305,0.7273793,-1.081284
-1.474574,0.7272699,-1.081373
-1.474574,0.7272699,-1.081373
-1.474437,0.7274673,-1.081236
-1.474643,0.7274551,-1.08114
-1.474568,0.7270663,-1.081381
-1.474572,0.7273576,-1.081282
-1.474602,0.7273836,-1.081307
-1.474599,0.7273712,-1.081306
-1.474553,0.7270694,-1.081277
-1.474549,0.7272456,-1.081076
-1.474448,0.7273107,-1.081085
-1.474674,0.7272494,-1.08117
-1.474542,0.7269726,-1.081181
-1.474529,0.7271659,-1.081258
-1.474522,0.7271383,-1.081277
-1.474507,0.7271261,-1.081269
-1.474492,0.7271411,-1.081268
-1.474484,0.7271454,-1.081268
-1.474474,0.7271309,-1.081274
-1.474262,0.7266057,-1.081118
-1.474458,0.7269228,-1.081192
-1.47479,0.7274365,-1.081358
-1.474625,0.7274275,-1.081238
-1.474648,0.7274048,-1.081253
-1.474561,0.7272108,-1.08126
-1.47453,0.7276134,-1.08129
-1.47468,0.7274673,-1.081204
-1.474653,0.7272418,-1.081242
-1.474735,0.7277718,-1.08131
-1.474735,0.7277718,-1.08131
-1.474653,0.7270386,-1.081397
-1.474648,0.7269933,-1.081403
-1.474455,0.7277272,-1.081356
-1.474696,0.7273741,-1.081273
-1.474469,0.727015,-1.081389
-1.474371,0.7270336,-1.081249
-1.474742,0.7269661,-1.081205
-1.474762,0.7269399,-1.081195
-1.474557,0.7271016,-1.081393
-1.474643,0.7276542,-1.081268
-1.474742,0.7274411,-1.081189
-1.474508,0.7273886,-1.081246
-1.474492,0.7275796,-1.081275
-1.474484,0.727664,-1.08124
-1.474618,0.7275782,-1.08116
-1.474461,0.7276771,-1.081239
-1.474475,0.7277315,-1.08121
-1.474416,0.7275212,-1.08121
-1.474295,0.7277422,-1.081154
-1.474267,0.7277529,-1.08115
-1.474554,0.7275565,-1.081165
-1.474486,0.7274437,-1.081183
-1.474367,0.7277412,-1.081156
-1.474617,0.7271883,-1.081265
-1.47456,0.7271998,-1.081326
-1.474572,0.7272048,-1.081347
-1.474528,0.7276869,-1.081299
-1.474528,0.7276869,-1.081299
-1.474581,0.7277257,-1.081306
-1.474621,0.7277708,-1.081283
-1.474621,0.7277708,-1.081283
-1.474638,0.7277915,-1.081279
-1.474295,0.7276978,-1.081124
-1.474287,0.7277088,-1.081107
-1.474598,0.727303,-1.081169
-1.474424,0.7271266,-1.081258
-1.474426,0.7270877,-1.081265
-1.47469,0.7273889,-1.081263
-1.47448,0.727236,-1.081267
-1.474496,0.7271945,-1.081269
-1.474589,0.7272134,-1.081293
-1.47464,0.7273557,-1.081262
-1.474579,0.7271352,-1.08122
-1.474573,0.7272224,-1.081297
-1.4745,0.7276192,-1.081298
-1.474522,0.7276652,-1.081305
-1.47453,0.7272449,-1.081306
-1.474449,0.7270241,-1.081429
-1.474586,0.727684,-1.081403
-1.47426,0.727556,-1.081557
-1.474604,0.7273271,-1.081462
-1.474473,0.7272122,-1.081446
-1.474616,0.7275486,-1.081183
-1.47475,0.7271101,-1.081161
-1.474567,0.7270622,-1.081279
-1.474567,0.7270622,-1.081279
-1.474672,0.7272556,-1.08117
-1.474683,0.7272491,-1.081161
-1.474526,0.727252,-1.081128
-1.474228,0.7276156,-1.08128
-1.474487,0.727304,-1.081301
-1.474419,0.7272551,-1.081316
-1.474518,0.7276952,-1.081244
-1.474526,0.7277486,-1.081244
-1.474532,0.727071,-1.081195
-1.474233,0.7274067,-1.08129
-1.474655,0.7274475,-1.08135
-1.474337,0.7272983,-1.081478
-1.474623,0.727437,-1.081307
-1.474642,0.7274613,-1.081323
-1.474607,0.7273514,-1.081338
-1.474619,0.7273505,-1.081352
-1.474732,0.7277586,-1.081328
-1.47482,0.7271304,-1.081278
-1.474601,0.7272162,-1.081273
-1.474608,0.727536,-1.081281
-1.474599,0.7273171,-1.081226
-1.474664,0.7272291,-1.081328
-1.47457,0.7273037,-1.081316
-1.474558,0.7276912,-1.081353
-1.474486,0.7272949,-1.081269
-1.474498,0.7272718,-1.081271
-1.474409,0.7274635,-1.081214
-1.474409,0.7274635,-1.081214
-1.474655,0.7273061,-1.081229
-1.474236,0.7271011,-1.081338
-1.474353,0.7272735,-1.081257
-1.474445,0.7271285,-1.081207
-1.474455,0.7273202,-1.081297
-1.474458,0.7273343,-1.081294
-1.474651,0.7274389,-1.081304
-1.47461,0.7274849,-1.081208
-1.474488,0.7272372,-1.081253
-1.474374,0.7272348,-1.081282
-1.47451,0.7275863,-1.081243
-1.47462,0.7277727,-1.081324
-1.474515,0.7274818,-1.081368
-1.474437,0.7271533,-1.081438
-1.474592,0.7273517,-1.081252
-1.474483,0.7267964,-1.081206
-1.474521,0.7271993,-1.081308
-1.474558,0.7271764,-1.08139
-1.47455,0.7272623,-1.081314
-1.474497,0.7270882,-1.081304
-1.474494,0.7271092,-1.081334
-1.474556,0.7271702,-1.081323
-1.474548,0.7270994,-1.08116
-1.474548,0.7270994,-1.08116
-1.474514,0.7272947,-1.081271
-1.474566,0.7273974,-1.081295
-1.47448,0.7269716,-1.081338
