Position X,Position Y,Position Z
-1.482038,0.7432277,-1.071491
-1.482414,0.7433016,-1.071552
-1.482341,0.7429287,-1.071575
-1.482307,0.7429454,-1.071428
-1.482317,0.7427948,-1.07135
-1.482041,0.7425625,-1.071435
-1.48215,0.7428331,-1.071428
-1.482067,0.7431622,-1.071522
-1.482067,0.7431622,-1.071522
-1.482067,0.7431622,-1.071522
-1.482067,0.7431622,-1.071522
-1.482067,0.7431622,-1.071522
-1.482047,0.7433107,-1.071536
-1.482083,0.743427,-1.071458
-1.482083,0.743427,-1.071458
-1.482335,0.7428746,-1.071493
-1.482096,0.7430241,-1.071565
-1.482119,0.7431028,-1.071525
-1.482324,0.7430239,-1.071475
-1.48234,0.7430243,-1.071475
-1.482208,0.7431793,-1.071552
-1.48223,0.7429874,-1.0715
-1.482237,0.7429371,-1.071491
-1.482213,0.7430742,-1.071339
-1.482269,0.7431259,-1.071331
-1.482473,0.7431521,-1.07148
-1.482312,0.743222,-1.071438
-1.482361,0.7432623,-1.071444
-1.482275,0.7430987,-1.071443
-1.482252,0.7430682,-1.071469
-1.48226,0.7430556,-1.071463
-1.482421,0.7431996,-1.071352
-1.482422,0.7430892,-1.071347
-1.482217,0.7429714,-1.071365
-1.482096,0.7427902,-1.071379
-1.482157,0.7432141,-1.071453
-1.482157,0.7432141,-1.071453
-1.482223,0.7427619,-1.071401
-1.482107,0.7425675,-1.07136
-1.482033,0.7433674,-1.071357
-1.482278,0.7431734,-1.07125
-1.482298,0.7425525,-1.071327
-1.482381,0.7431455,-1.071347
-1.48261,0.7431121,-1.071297
-1.482651,0.7429788,-1.071365
-1.482323,0.7423964,-1.071454
-1.482242,0.742204,-1.071411
-1.482626,0.7425227,-1.071338
-1.482483,0.7422311,-1.071497
-1.482441,0.7423375,-1.071352
-1.482152,0.7430778,-1.07156
-1.482121,0.7431183,-1.071585
-1.482104,0.7431247,-1.071595
-1.481981,0.7434516,-1.071438
-1.482323,0.7433517,-1.071343
-1.482241,0.7430911,-1.071383
-1.48223,0.7430933,-1.071394
-1.482287,0.7430694,-1.071371
-1.482294,0.7430851,-1.071382
-1.482238,0.7429874,-1.071359
-1.482269,0.7429831,-1.071385
-1.482348,0.7429686,-1.071431
-1.482282,0.7430282,-1.071329
-1.482324,0.742815,-1.071366
-1.482324,0.742815,-1.071366
-1.482324,0.742815,-1.071366
-1.482324,0.742815,-1.071366
-1.482324,0.742815,-1.071366
-1.482346,0.7425518,-1.071464
-1.482133,0.7432516,-1.071365
-1.482133,0.7432516,-1.071365
-1.482448,0.7427807,-1.071326
-1.482231,0.7425182,-1.071376
-1.482224,0.7432051,-1.07135
-1.482224,0.7432051,-1.07135
-1.482224,0.7432051,-1.07135
-1.482224,0.7432051,-1.07135
-1.482354,0.742718,-1.071536
-1.482354,0.742718,-1.071536
-1.48261,0.7431004,-1.071395
-1.482277,0.7429283,-1.071394
-1.482396,0.7432036,-1.071341
-1.482396,0.7432292,-1.071345
-1.482379,0.7425244,-1.071316
-1.482209,0.7425489,-1.071386
-1.482352,0.7429457,-1.071469
-1.481943,0.7429719,-1.07141
-1.482295,0.742424,-1.071495
-1.48229,0.7423759,-1.071497
-1.482565,0.7429054,-1.071507
-1.482727,0.7426691,-1.071446
-1.482791,0.74265,-1.071464
-1.482791,0.74265,-1.071464
-1.482911,0.7426138,-1.07148
-1.483002,0.7425966,-1.071519
-1.482235,0.7435932,-1.071495
-1.482217,0.7436855,-1.0715
-1.482603,0.7434647,-1.071439
-1.482233,0.7430468,-1.07147
-1.482154,0.7442331,-1.071499
-1.482132,0.745138,-1.071663
-1.482323,0.7462206,-1.071868
-1.48105,0.7513226,-1.072505
-1.480545,0.7536535,-1.072566
-1.480136,0.7562879,-1.072583
-1.479108,0.7608293,-1.072778
-1.478914,0.7638358,-1.072605
-1.478587,0.770494,-1.071969
-1.478558,0.7740655,-1.071319
-1.478212,0.7810055,-1.069456
-1.478071,0.7841655,-1.068495
-1.478457,0.791362,-1.065075
-1.479101,0.7954049,-1.062847
-1.480826,0.8045313,-1.058484
-1.482042,0.809798,-1.055672
-1.484173,0.8211991,-1.04952
-1.48514,0.8281896,-1.045776
-1.487987,0.8409079,-1.037578
-1.489325,0.848062,-1.032949
-1.493431,0.8637369,-1.023241
-1.493431,0.8637369,-1.023241
-1.500894,0.885951,-1.007302
-1.503027,0.8932542,-1.001654
-1.509197,0.9091154,-0.9892185
-1.512275,0.9168845,-0.9830106
-1.518237,0.9317017,-0.9706402
-1.521725,0.9391819,-0.963868
-1.529043,0.9546976,-0.9511229
-1.532794,0.9616774,-0.9448186
-1.536151,0.9683801,-0.9387177
-1.536151,0.9683801,-0.9387177
-1.536151,0.9683801,-0.9387177
-1.536151,0.9683801,-0.9387177
-1.563882,1.011666,-0.8969682
-1.563882,1.011666,-0.8969682
-1.572447,1.023273,-0.8855312
-1.579889,1.032134,-0.8742344
-1.587011,1.040485,-0.864123
-1.590868,1.044538,-0.8595318
-1.598364,1.050892,-0.8501518
-1.605446,1.056945,-0.8415212
-1.60825,1.059433,-0.8377378
-1.611348,1.061773,-0.8339496
-1.617493,1.066393,-0.8266197
-1.62052,1.068231,-0.8234529
-1.626589,1.071473,-0.8174821
-1.629806,1.073133,-0.8147997
-1.636023,1.0757,-0.8098547
-1.636023,1.0757,-0.8098547
-1.644875,1.077537,-0.8037533
-1.647777,1.077783,-0.801767
-1.652989,1.078133,-0.7980104
-1.655458,1.078285,-0.7961483
-1.659669,1.077915,-0.7929814
-1.661788,1.077575,-0.7915486
-1.664723,1.075854,-0.7893308
-1.665942,1.075257,-0.7883769
-1.668438,1.074473,-0.7875191
-1.671595,1.072717,-0.7857322
-1.673887,1.071014,-0.784551
-1.675087,1.06988,-0.7840793
-1.677287,1.067775,-0.7832158
-1.678429,1.066814,-0.7827733
-1.679697,1.064956,-0.7821727
-1.680329,1.06393,-0.7818554
-1.681269,1.061577,-0.7814505
-1.681368,1.060766,-0.7813219
-1.68128,1.059275,-0.7810889
-1.681162,1.05803,-0.7808753
-1.681034,1.057961,-0.7808498
-1.68013,1.057628,-0.7806413
-1.679838,1.057027,-0.7798824
-1.679328,1.056949,-0.7797292
-1.677932,1.057154,-0.7797084
-1.677019,1.05709,-0.7803776
-1.676486,1.057058,-0.780273
-1.676486,1.057058,-0.780273
-1.673959,1.057666,-0.7803676
-1.673471,1.057984,-0.780438
-1.673376,1.058309,-0.7805256
-1.672378,1.058459,-0.7813973
-1.671233,1.059153,-0.7817862
-1.671286,1.059411,-0.7818678
-1.6695,1.059493,-0.7827469
-1.668806,1.059288,-0.7829475
-1.668189,1.059963,-0.7826993
-1.667114,1.060328,-0.7833917
-1.665555,1.060815,-0.7844512
-1.664663,1.060752,-0.785113
-1.662945,1.061176,-0.7866231
-1.661973,1.060842,-0.78765
-1.659056,1.06087,-0.7904927
-1.657535,1.060975,-0.7919168
-1.655177,1.060216,-0.7960742
-1.653648,1.059655,-0.7978868
-1.649613,1.058581,-0.8026136
-1.647637,1.058125,-0.804858
-1.643249,1.056467,-0.809782
-1.640461,1.055646,-0.8128743
-1.635223,1.053928,-0.8186419
-1.632513,1.053195,-0.8216761
-1.62649,1.051357,-0.8277196
-1.623193,1.050454,-0.8306472
-1.616772,1.048024,-0.8370306
-1.616772,1.048024,-0.8370306
-1.606911,1.044994,-0.8478693
-1.603457,1.043515,-0.8514395
-1.596051,1.040847,-0.858347
-1.592402,1.039646,-0.862003
-1.585027,1.038073,-0.8695819
-1.581618,1.036371,-0.8737829
-1.574639,1.033401,-0.8810937
-1.570654,1.032677,-0.8852837
-1.567128,1.031025,-0.8897824
-1.556641,1.025517,-0.901314
-1.553389,1.02381,-0.9051091
-1.550079,1.021944,-0.9091355
-1.541929,1.0175,-0.9185147
-1.53874,1.014971,-0.9226524
-1.532864,1.010362,-0.931724
-1.529887,1.00787,-0.9361379
-1.524296,1.00183,-0.9442702
-1.521716,0.9988536,-0.9483212
-1.515404,0.9940991,-0.9568188
-1.510597,0.9878687,-0.9645694
-1.508967,0.9838326,-0.9686559
-1.506795,0.9809105,-0.9727923
-1.502145,0.9737381,-0.9812698
-1.500291,0.9698073,-0.9853113
-1.496946,0.961237,-0.9926268
-1.495041,0.957525,-0.9966264
-1.492528,0.9502747,-1.003554
-1.492528,0.9502747,-1.003554
-1.488302,0.9369211,-1.014041
-1.485981,0.9335122,-1.017319
-1.483877,0.9251331,-1.022574
-1.482657,0.920978,-1.025372
-1.480183,0.91232,-1.031027
-1.479251,0.9081569,-1.033247
-1.478138,0.8995633,-1.036909
-1.476966,0.8949225,-1.039751
-1.476083,0.8904129,-1.041374
-1.473941,0.8781497,-1.045539
-1.473204,0.8736808,-1.047056
-1.472699,0.8693209,-1.047944
-1.47139,0.8595951,-1.049257
-1.470793,0.8548841,-1.050081
-1.470168,0.846873,-1.051906
-1.469781,0.8427906,-1.052879
-1.469271,0.8328593,-1.054287
-1.468913,0.8288066,-1.054996
-1.468146,0.821255,-1.055881
-1.466844,0.8132298,-1.056712
-1.466238,0.8099965,-1.057277
-1.465842,0.8068525,-1.057992
-1.465812,0.8012331,-1.059286
-1.466026,0.7979708,-1.059815
-1.465681,0.792785,-1.061428
-1.466415,0.790884,-1.061795
-1.46523,0.786815,-1.062719
-1.46523,0.786815,-1.062719
-1.464454,0.7803589,-1.064074
-1.464187,0.7794708,-1.064641
-1.464808,0.775768,-1.065367
-1.464477,0.7735541,-1.065885
-1.465212,0.7711535,-1.066448
-1.464565,0.7708035,-1.067192
-1.465218,0.7679667,-1.06788
-1.464933,0.7660538,-1.068406
-1.465808,0.7649015,-1.068799
-1.467173,0.7610985,-1.070094
-1.467124,0.7592624,-1.070599
-1.467855,0.7580173,-1.070456
-1.468531,0.7571326,-1.070336
-1.469068,0.7568512,-1.069839
-1.469678,0.7569044,-1.069422
-1.47024,0.7570198,-1.069351
-1.471325,0.7568785,-1.06918
-1.47159,0.7564117,-1.069024
-1.4719,0.7559296,-1.068808
-1.472021,0.7554225,-1.0688
-1.471927,0.7551737,-1.06882
-1.471958,0.7550201,-1.068821
-1.471903,0.7548037,-1.068969
-1.471925,0.7548048,-1.06913
-1.471878,0.7552536,-1.06929
-1.471791,0.755335,-1.069162
-1.471921,0.7550617,-1.069222
-1.471921,0.7550617,-1.069222
-1.471679,0.7549948,-1.069195
-1.471607,0.7545019,-1.068921
-1.471279,0.7542523,-1.068948
-1.471273,0.7549193,-1.068906
-1.471205,0.7548298,-1.068799
-1.471472,0.754629,-1.068708
-1.471248,0.7539997,-1.068795
-1.471458,0.7543869,-1.068877
-1.471424,0.754166,-1.068769
-1.471793,0.7535856,-1.068578
-1.471964,0.7537944,-1.068507
-1.471858,0.7540144,-1.068581
-1.472134,0.7541994,-1.068564
-1.472089,0.7534047,-1.068507
-1.471993,0.7535167,-1.068594
-1.472008,0.7533135,-1.068635
-1.472284,0.7530215,-1.068589
-1.472402,0.7530766,-1.068561
-1.472204,0.7528077,-1.068698
-1.472496,0.7534662,-1.068574
-1.472348,0.7527936,-1.068544
-1.472415,0.7528753,-1.068499
-1.472841,0.752773,-1.068442
-1.472319,0.753288,-1.068554
-1.472543,0.7526572,-1.068451
-1.472284,0.7522365,-1.06848
-1.472489,0.7530736,-1.068555
-1.472489,0.7530736,-1.068555
-1.472345,0.7521511,-1.068559
-1.472358,0.7522221,-1.068539
-1.472444,0.7530493,-1.068625
-1.472693,0.7526777,-1.068542
-1.47253,0.7521174,-1.068598
-1.472736,0.7525618,-1.068594
-1.473024,0.7522767,-1.068527
