Gaze Left X,Gaze Left Y,Gaze Left Z
-0.1796112,0.0431366,0.9827881
-0.1796417,0.04429626,0.9827271
-0.1799469,0.0448761,0.9826355
-0.1799622,0.04663086,0.9825592
-0.1797791,0.04592896,0.9826202
-0.1945648,0.04812622,0.9797058
-0.2055969,0.04891968,0.9774017
-0.2059021,0.05036926,0.9772644
-0.2060394,0.04977417,0.9772644
-0.2071838,0.04971313,0.9770203
-0.2075653,0.05050659,0.9768982
-0.2077637,0.05030823,0.9768829
-0.2100372,0.05105591,0.9763489
-0.209671,0.05056763,0.9764557
-0.2104492,0.05137634,0.9762421
-0.211731,0.05104065,0.9759827
-0.1936798,0.04983521,0.9797821
-0.1895599,0.04782104,0.9806976
-0.1850128,0.05117798,0.9813995
-0.1833496,0.05076599,0.9817352
-0.1837158,0.05032349,0.9816742
-0.1833191,0.04707336,0.9819183
-0.1838379,0.04734802,0.9818115
-0.1839905,0.04801941,0.9817505
-0.184021,0.04795837,0.9817352
-0.1838531,0.04780579,0.981781
-0.1841583,0.04766846,0.9817352
-0.186142,0.04586792,0.9814453
-0.186203,0.04855347,0.981308
-0.1858826,0.04850769,0.981369
-0.1858673,0.04649353,0.9814606
-0.1858521,0.04516602,0.9815369
-0.1875916,0.0446167,0.9812164
-0.1876221,0.04388428,0.9812469
-0.1847687,0.04533386,0.98172
-0.1844482,0.04472351,0.9818115
-0.1828156,0.04566956,0.9820709
-0.1828461,0.04336548,0.9821777
-0.1832733,0.04025269,0.9822235
-0.175827,0.03999329,0.9835968
-0.1793213,0.03791809,0.9830475
-0.1887207,0.02952576,0.9815826
-0.1930695,0.04743958,0.9800262
-0.197998,0.04199219,0.9792938
-0.2018585,0.03019714,0.9789429
-0.1998749,0.03582764,0.9791565
-0.2073364,0.03689575,0.9775696
-0.2089386,0.03651428,0.9772339
-0.2120667,0.02784729,0.9768524
-0.2359467,-0.02204895,0.9715118
-0.2179565,-0.01295471,0.9758606
-0.2150269,-0.01374817,0.9765015
-0.2101746,-0.02755737,0.9772644
-0.2236481,-0.05488586,0.973114
-0.2309265,-0.05235291,0.9715576
-0.2107544,-0.08888245,0.9734802
-0.2135162,-0.07987976,0.9736633
-0.2320709,-0.0892334,0.9685822
-0.2377167,-0.1126099,0.9647675
-0.2865906,-0.3061829,0.9078064
-0.3196411,-0.2642975,0.9099121
-0.3321228,-0.2842255,0.8993835
-0.2819061,-0.1822357,0.9419556
-0.2763367,-0.246109,0.9290009
-0.345932,-0.2402496,0.9069672
-0.3659363,-0.2395172,0.8992767
-0.3616791,-0.2416382,0.9004364
-0.3698883,-0.2419891,0.8969879
-0.3955078,-0.2387085,0.8868866
-0.4224396,-0.1736603,0.8895874
-0.3486633,0.0866394,0.9332275
-0.3839722,0.08354187,0.9195557
-0.4077606,0.07652283,0.9098663
-0.3824158,0.05001831,0.9226227
-0.3670654,0.03874207,0.9293823
