X,Y,Z
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
1.316374,1.876423,-0.1073994
