Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.1258545,-0.1738586,0.9766846,-0.03265381,-0.1671753,0.9853821
-0.1260986,-0.1746216,0.9765167,-0.03358459,-0.1680908,0.9851837
-0.1264648,-0.1746674,0.9764709,-0.03443909,-0.167511,0.98526
-0.1264191,-0.1747284,0.9764557,-0.03317261,-0.1672363,0.9853516
-0.1263428,-0.1739502,0.9766083,-0.0333252,-0.1678772,0.9852295
-0.124939,-0.1735687,0.9768524,-0.0340271,-0.166748,0.9853973
-0.1239471,-0.1720581,0.9772491,-0.03338623,-0.1676178,0.9852753
-0.1239471,-0.1720581,0.9772491,-0.03338623,-0.1676178,0.9852753
-0.1239471,-0.1720581,0.9772491,-0.03338623,-0.1676178,0.9852753
-0.125,-0.1719971,0.9771271,-0.03413391,-0.167572,0.98526
-0.125,-0.1719971,0.9771271,-0.03413391,-0.167572,0.98526
-0.1249695,-0.1738892,0.9767914,-0.03311157,-0.1699066,0.9848938
-0.1256714,-0.1739044,0.9766998,-0.03385925,-0.1693726,0.9849548
-0.1258087,-0.1755066,0.9763947,-0.0324707,-0.1707611,0.9847717
-0.1256866,-0.1761017,0.9763031,-0.03268433,-0.1700134,0.9848938
-0.1253052,-0.1757813,0.9764099,-0.03318787,-0.1702576,0.9848328
-0.1248169,-0.175705,0.9764862,-0.03318787,-0.1699829,0.9848785
-0.1248779,-0.1752472,0.9765625,-0.03311157,-0.1702881,0.9848328
-0.1243591,-0.1752319,0.9766235,-0.03311157,-0.1702881,0.9848328
-0.1246185,-0.175827,0.9764862,-0.03347778,-0.1684875,0.9851227
-0.1246643,-0.1753845,0.9765625,-0.03353882,-0.168335,0.9851532
-0.1254578,-0.1738129,0.9767456,-0.03390503,-0.1687622,0.9850616
-0.1256409,-0.1728973,0.9768829,-0.03359985,-0.1687012,0.9850922
-0.125061,-0.1723175,0.977066,-0.03277588,-0.1691589,0.9850311
-0.1255951,-0.1724091,0.9769745,-0.03237915,-0.1693726,0.9850159
-0.1249695,-0.171936,0.9771423,-0.03282166,-0.16922,0.9850159
-0.1248474,-0.1716919,0.9772034,-0.03370667,-0.1682434,0.9851532
-0.1232605,-0.1714478,0.9774475,-0.03469849,-0.1685638,0.9850769
-0.1228333,-0.171402,0.9775085,-0.034729,-0.1687012,0.9850464
-0.1233673,-0.171875,0.977356,-0.03483582,-0.1688843,0.9850159
-0.1227112,-0.1723175,0.977356,-0.03486633,-0.1685944,0.9850616
-0.1239624,-0.1733704,0.977005,-0.03533936,-0.1690979,0.9849548
-0.1235809,-0.1730042,0.9771271,-0.03588867,-0.171051,0.9846039
-0.1230621,-0.1720734,0.977356,-0.03459167,-0.1713867,0.9845886
-0.1227264,-0.1723328,0.977356,-0.0355835,-0.1724243,0.984375
-0.1227112,-0.1718445,0.9774475,-0.03443909,-0.1718903,0.9845123
-0.1231689,-0.1711426,0.9775085,-0.03424072,-0.1716003,0.9845581
-0.1239777,-0.171051,0.977417,-0.03343201,-0.1717529,0.9845581
-0.1238403,-0.1710663,0.9774323,-0.03405762,-0.1719818,0.9844971
-0.124176,-0.1710205,0.9774017,-0.03430176,-0.1733398,0.9842529
-0.1245422,-0.1711884,0.9773254,-0.03453064,-0.1717987,0.9845123
-0.1237793,-0.1729889,0.9770966,-0.03437805,-0.1713104,0.9846039
-0.124176,-0.1739197,0.9768829,-0.03417969,-0.1702728,0.984787
-0.1242371,-0.1762085,0.9764709,-0.0344696,-0.1706848,0.9847107
-0.1239471,-0.1748352,0.9767609,-0.0345459,-0.1693878,0.9849396
-0.1243591,-0.1744537,0.9767761,-0.03398132,-0.1700745,0.9848328
-0.1239471,-0.174881,0.9767456,-0.03419495,-0.1706848,0.984726
-0.1238861,-0.1751099,0.9767151,-0.03395081,-0.170166,0.9848175
-0.1239624,-0.1754456,0.9766388,-0.03282166,-0.1713715,0.9846497
-0.1239166,-0.1748505,0.9767609,-0.03317261,-0.1702576,0.9848328
-0.1242218,-0.1758728,0.976532,-0.03305054,-0.1713104,0.9846497
-0.1231689,-0.1732178,0.9771423,-0.03300476,-0.1710663,0.9846954
-0.1236267,-0.1725006,0.9772034,-0.0332489,-0.1726532,0.9844055
-0.1238861,-0.1725006,0.9771729,-0.03300476,-0.1726074,0.9844208
-0.1241302,-0.1728058,0.9770966,-0.03244019,-0.1722107,0.9845123
-0.1238556,-0.1728516,0.9771271,-0.03266907,-0.1708527,0.9847412
-0.1244812,-0.1746979,0.9767151,-0.03210449,-0.1700745,0.9848938
-0.1242523,-0.1751099,0.9766693,-0.03286743,-0.1702728,0.984848
-0.123291,-0.1750031,0.9768066,-0.03285217,-0.1708527,0.9847412
-0.1220856,-0.1755371,0.9768677,-0.03279114,-0.1713715,0.9846497
-0.1218414,-0.1760101,0.9768066,-0.03253174,-0.1707916,0.9847565
-0.1202545,-0.175415,0.9771118,-0.03263855,-0.1712494,0.9846802
-0.1201935,-0.1728058,0.9775848,-0.03245544,-0.172287,0.9844971
-0.1199951,-0.1724243,0.9776764,-0.03240967,-0.1722565,0.9845123
-0.1191406,-0.1714935,0.9779358,-0.03234863,-0.1727295,0.9844208
-0.1191406,-0.1722717,0.9778137,-0.03204346,-0.1727448,0.984436
-0.1198578,-0.1724854,0.9776764,-0.03128052,-0.1723328,0.9845276
-0.1199646,-0.1723328,0.9776917,-0.0302124,-0.1725464,0.9845276
-0.1192017,-0.1718597,0.9778748,-0.03033447,-0.1725006,0.9845276
-0.1192169,-0.1718903,0.9778595,-0.03033447,-0.1749573,0.9841003
-0.118988,-0.1708832,0.9780731,-0.03051758,-0.172699,0.9844971
-0.1174927,-0.1695709,0.9784851,-0.03373718,-0.1724396,0.984436
-0.1174927,-0.1695709,0.9784851,-0.03373718,-0.1724396,0.984436
