Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z
-0.117981,-0.1503143,0.9815674,-0.03216553,-0.1315155,0.9907837
-0.1184692,-0.1553497,0.9807281,-0.03285217,-0.1313019,0.9907837
-0.118515,-0.1568298,0.980484,-0.03274536,-0.1311493,0.9908142
-0.1196747,-0.155014,0.9806213,-0.03266907,-0.1313477,0.9907837
-0.1193695,-0.1557007,0.9805603,-0.03427124,-0.1311493,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181793,-0.1545715,0.9808807,-0.03477478,-0.1310425,0.9907532
-0.1181946,-0.1543121,0.9809113,-0.03314209,-0.1320496,0.9906769
-0.1180115,-0.1570129,0.9805145,-0.0324707,-0.1318054,0.9907379
-0.1180115,-0.1570129,0.9805145,-0.0324707,-0.1318054,0.9907379
-0.1178894,-0.1579437,0.9803772,-0.03320313,-0.1316528,0.9907379
-0.1179199,-0.1567688,0.9805603,-0.03323364,-0.1316223,0.9907379
-0.116333,-0.1580811,0.980545,-0.034729,-0.1325073,0.9905701
-0.1168365,-0.1582794,0.9804535,-0.03475952,-0.1330719,0.9904938
-0.1168365,-0.1576843,0.980545,-0.03503418,-0.1328583,0.990509
-0.1160583,-0.158905,0.9804382,-0.03675842,-0.1327515,0.9904633
-0.1163635,-0.1587372,0.980423,-0.03681946,-0.1348267,0.9901733
-0.1165619,-0.1595306,0.9802704,-0.03683472,-0.1338043,0.9903107
-0.1184235,-0.1570129,0.9804535,-0.03599548,-0.134964,0.9901886
-0.1184692,-0.1580811,0.9802856,-0.03562927,-0.1338654,0.9903564
-0.1182709,-0.1570587,0.9804688,-0.03627014,-0.1341248,0.9902954
-0.117691,-0.1568604,0.9805756,-0.03659058,-0.1349487,0.9901733
-0.1170349,-0.1576385,0.9805298,-0.03544617,-0.1347809,0.9902344
-0.1165314,-0.1570587,0.9806824,-0.03530884,-0.1351624,0.9901886
-0.1166077,-0.1566315,0.9807434,-0.034729,-0.1362,0.9900665
-0.117218,-0.1561584,0.9807434,-0.03439331,-0.1338043,0.9904022
-0.1174622,-0.155838,0.9807587,-0.03439331,-0.1330261,0.990509
-0.1185913,-0.1582031,0.9802551,-0.03419495,-0.1350861,0.9902344
-0.1177368,-0.1585846,0.9802856,-0.03317261,-0.1327057,0.9905853
-0.1159668,-0.1587982,0.9804688,-0.03340149,-0.1327209,0.9905853
-0.1177673,-0.1560822,0.9806976,-0.03236389,-0.1354218,0.9902496
-0.1138458,-0.1590271,0.9806824,-0.03132629,-0.1394196,0.9897308
-0.1137543,-0.1584015,0.9807892,-0.03091431,-0.1389008,0.9898224
-0.1127777,-0.1583252,0.9809113,-0.03108215,-0.1404266,0.9895935
-0.1128235,-0.1584167,0.980896,-0.03053284,-0.1397858,0.9897003
