Position X,Position Y,Position Z
-1.540624,0.7529266,-1.032684
-1.540393,0.7530452,-1.032733
-1.540397,0.7531134,-1.032746
-1.540614,0.753291,-1.032715
-1.54068,0.7532433,-1.032841
-1.54068,0.7532433,-1.032841
-1.54068,0.7532433,-1.032841
-1.54059,0.7533234,-1.032665
-1.540557,0.7530154,-1.032717
-1.540447,0.7528542,-1.032754
-1.540597,0.7532452,-1.032788
-1.540463,0.7530055,-1.032596
-1.540453,0.7530508,-1.032554
-1.540445,0.7528127,-1.032686
-1.540465,0.7529012,-1.032675
-1.540454,0.7528996,-1.032676
-1.540189,0.7526914,-1.032688
-1.540193,0.7529321,-1.032716
-1.540099,0.7529153,-1.032624
-1.540028,0.7529448,-1.032604
-1.54005,0.7529076,-1.032776
-1.540027,0.7529107,-1.03278
-1.540555,0.752588,-1.032511
-1.540583,0.7525697,-1.032498
-1.54026,0.7527013,-1.032668
-1.540463,0.7531273,-1.032598
-1.540423,0.7527152,-1.032607
-1.540211,0.7526603,-1.032663
-1.540379,0.7530307,-1.032641
-1.540392,0.7530694,-1.032641
-1.540362,0.7528541,-1.032617
-1.540361,0.7529161,-1.032564
-1.540191,0.7527375,-1.032668
-1.540332,0.7528338,-1.032604
-1.540325,0.752848,-1.032596
-1.540158,0.7526457,-1.032547
-1.540282,0.7528006,-1.032658
-1.540477,0.7530522,-1.032606
-1.54043,0.752869,-1.032571
-1.540493,0.7526886,-1.032671
-1.540516,0.7526695,-1.032665
-1.54051,0.7528985,-1.032685
-1.540542,0.7529095,-1.032684
-1.540463,0.7525951,-1.032729
-1.540352,0.7531624,-1.032714
-1.540355,0.753152,-1.032787
-1.540353,0.7531861,-1.032791
-1.540373,0.753209,-1.032807
-1.540382,0.7532254,-1.032817
-1.540762,0.7529016,-1.032731
-1.5403,0.7526044,-1.03271
-1.540238,0.7529938,-1.03266
-1.540223,0.7529863,-1.032648
-1.540542,0.7530066,-1.032599
-1.540555,0.7530093,-1.032588
-1.540352,0.7531235,-1.032554
-1.540386,0.7530892,-1.03258
-1.540322,0.7527945,-1.032496
-1.540323,0.7527877,-1.032486
-1.540458,0.7530984,-1.032749
-1.540469,0.7531182,-1.032764
-1.540452,0.7529663,-1.032603
-1.540444,0.7529291,-1.032591
-1.54037,0.7526034,-1.032757
-1.540325,0.7525653,-1.032772
-1.540415,0.7527183,-1.032618
-1.540356,0.7526103,-1.032588
-1.54047,0.752593,-1.032706
-1.540522,0.7529544,-1.032583
-1.540477,0.7524602,-1.032596
-1.540477,0.7524602,-1.032596
-1.540477,0.7524602,-1.032596
-1.540632,0.7533681,-1.032589
-1.540481,0.7526714,-1.032605
-1.540481,0.7526714,-1.032605
-1.540801,0.7530255,-1.032636
-1.540834,0.7530352,-1.032613
-1.540551,0.7526349,-1.032649
-1.540625,0.7527133,-1.032603
-1.540701,0.7527797,-1.032626
-1.540662,0.752681,-1.032539
-1.540283,0.7529489,-1.032626
-1.540697,0.7530427,-1.032535
-1.540584,0.7531294,-1.032676
-1.540416,0.753046,-1.032709
-1.540413,0.7530559,-1.032708
-1.540433,0.7531118,-1.032739
-1.540455,0.7531662,-1.032698
-1.540472,0.7531815,-1.032672
-1.540477,0.7531778,-1.032676
-1.54059,0.7532246,-1.032824
-1.540366,0.7534517,-1.03268
-1.540255,0.7532362,-1.032656
-1.540307,0.7529823,-1.032696
-1.540282,0.7533427,-1.032654
-1.540514,0.7531368,-1.032564
-1.54035,0.7528193,-1.032677
-1.54035,0.7528803,-1.032671
-1.540322,0.7528281,-1.032659
-1.540398,0.7528657,-1.032773
-1.54039,0.7529635,-1.032779
-1.540533,0.7532752,-1.032777
-1.540857,0.7531192,-1.032708
-1.54085,0.752908,-1.032731
-1.540752,0.7530639,-1.032577
-1.540619,0.7531564,-1.032805
-1.540778,0.7532291,-1.032766
-1.540651,0.7528793,-1.032943
-1.540596,0.7531836,-1.032718
-1.540575,0.7529978,-1.032795
-1.540598,0.7529066,-1.032887
-1.540718,0.7531897,-1.03266
-1.540385,0.7533631,-1.032731
-1.54057,0.7533014,-1.032758
-1.540413,0.7531687,-1.032778
-1.540242,0.7533095,-1.032608
-1.540238,0.7531563,-1.032688
-1.540363,0.7533473,-1.032707
-1.540412,0.7532001,-1.03268
-1.540457,0.7530826,-1.032682
-1.540466,0.7533003,-1.032707
-1.540626,0.7532365,-1.032707
-1.540628,0.7531856,-1.032695
-1.540491,0.7528554,-1.03268
-1.540525,0.7534426,-1.032751
-1.540428,0.7533523,-1.03269
-1.54036,0.7529817,-1.032685
-1.540264,0.7533135,-1.032675
-1.540275,0.7534716,-1.032634
-1.540321,0.7534525,-1.032771
-1.540312,0.7534405,-1.032803
-1.540389,0.7536442,-1.032707
-1.540593,0.7534657,-1.032632
-1.540457,0.7530189,-1.032673
-1.540324,0.7531919,-1.032702
-1.540498,0.7532837,-1.032668
-1.540537,0.7532824,-1.032737
-1.540354,0.7532135,-1.03266
-1.540355,0.7531942,-1.032642
-1.540505,0.7531836,-1.032635
-1.540512,0.7530864,-1.032654
-1.540511,0.7530761,-1.032613
-1.540591,0.7531978,-1.032628
-1.540635,0.7532259,-1.032606
-1.540459,0.7533381,-1.032642
-1.540388,0.7530587,-1.032613
-1.540426,0.7529731,-1.032673
-1.540463,0.753057,-1.032622
-1.540477,0.7530301,-1.03262
-1.540617,0.7529591,-1.032667
-1.540443,0.753088,-1.032741
-1.540517,0.7533243,-1.032668
-1.540452,0.7529609,-1.03273
-1.540504,0.7531389,-1.03282
-1.540455,0.7533547,-1.032611
-1.540642,0.7531922,-1.032724
-1.540663,0.7531781,-1.032723
-1.540382,0.7531283,-1.032726
-1.540509,0.7534701,-1.03266
-1.54067,0.7531369,-1.03283
-1.54069,0.7533014,-1.032711
-1.540466,0.7536972,-1.032648
-1.54047,0.7537298,-1.032642
-1.540289,0.7530638,-1.032759
-1.540289,0.7530638,-1.032759
-1.540399,0.7535158,-1.032739
-1.540454,0.7534444,-1.032833
-1.540476,0.753518,-1.032687
-1.540262,0.7532324,-1.032738
-1.540163,0.7531556,-1.03271
-1.540242,0.7533685,-1.032789
-1.54024,0.753363,-1.032764
-1.540283,0.7531898,-1.032776
-1.540302,0.753504,-1.032797
-1.540301,0.7535926,-1.032738
-1.540336,0.7530998,-1.032796
-1.540332,0.7530775,-1.03279
-1.540318,0.7536941,-1.032844
-1.539868,0.753709,-1.032834
-1.540202,0.75301,-1.032841
-1.540187,0.752983,-1.03284
