Velocity X,Velocity Y,Velocity Z
-0.0523557,-0.02025653,0.01488614
-0.04998847,-0.01934064,0.01421307
0.03361857,0.04494359,0.01836639
0.02883443,0.03854783,0.01575273
-0.02644288,-0.03965395,-0.02097194
-0.03053818,-0.0457953,-0.02421995
-0.02774711,-0.04160979,-0.02200633
-0.02877665,-0.0431537,-0.02282287
-0.03013349,-0.04518842,-0.02389898
-0.02339626,-0.03508521,-0.01855566
-0.02208552,-0.03311962,-0.01751611
-0.02058398,-0.0308679,-0.01632523
-0.01993709,-0.02989782,-0.01581218
-0.01944007,-0.02915248,-0.01541799
-0.01874611,-0.02811182,-0.01486761
-0.01904851,-0.02856529,-0.01510744
-0.01771274,-0.02656216,-0.01404804
-0.01926573,-0.02889104,-0.01527972
-0.02089596,-0.03133575,-0.01657266
-0.02132168,-0.03197417,-0.01691031
-0.02101029,-0.03150719,-0.01666334
-0.01973315,-0.02959199,-0.01565043
-0.01957421,-0.02935364,-0.01552438
-0.01804251,-0.0270567,-0.01430959
-0.01725971,-0.0258828,-0.01368874
-0.0173504,-0.0260188,-0.01376067
-0.01612195,-0.02417661,-0.01278638
-0.01480632,-0.02220368,-0.01174295
-0.01523754,-0.02285033,-0.01208495
-0.01923389,-0.0288433,-0.01525447
-0.01746028,-0.02618358,-0.01384781
-0.01655923,-0.02483235,-0.01313318
-0.01641717,-0.02461932,-0.01302052
-0.01605151,-0.02407097,-0.01273051
-0.01560936,-0.02340793,-0.01237984
-0.01346288,-0.02018903,-0.01067745
-0.01337955,-0.02006408,-0.01061137
-0.01630417,-0.02444986,-0.01293089
0.01498608,0.02278407,0.01198203
0.01464164,0.02226041,0.01170664
0.01287354,0.01957228,0.01029296
0.01461894,0.02222589,0.01168849
-0.02513324,-0.04068165,-0.01917776
-0.02411394,-0.03903176,-0.01839999
0.01984422,0.05122483,-0.00342541
-0.04970615,-0.02320711,0.0305249
-0.05364748,-0.02504726,0.0329453
0.04314293,-0.02173394,-0.0322659
0.02795283,0.06151108,-0.007013367
-0.03139913,-0.06179167,0.007112071
-0.02950445,-0.05806304,0.006682915
-0.02960737,-0.05826559,0.006706227
-0.02711815,-0.05336695,0.006142406
-0.02372994,-0.04669914,0.005374958
-0.02180694,-0.0429148,0.004939388
-0.02087198,-0.04107484,0.004727614
-0.02081805,-0.04096872,0.0047154
-0.01944157,-0.03825988,0.004403619
-0.01635923,-0.03219401,0.003705453
-0.01602659,-0.0315394,0.003630108
-0.01498936,-0.02949819,0.00339517
-0.01429922,-0.02814004,0.00323885
-0.01492582,-0.02937315,0.003380778
-0.01522647,-0.02996481,0.003448877
-0.01599351,-0.0314743,0.003622615
-0.01379283,-0.0271435,0.00312415
-0.01548322,-0.03047008,0.003507032
-0.01451132,-0.02855744,0.003286892
-0.01404281,-0.02763543,0.003180771
-0.01404651,-0.02764271,0.003181608
-0.01719783,-0.03384433,0.0038954
-0.01484836,-0.02922071,0.003363233
-0.01566877,-0.03083523,0.003549059
-0.01621478,-0.03190974,0.003672733
-0.0150701,-0.02965708,0.003413458
-0.01677594,-0.03301409,0.003799841
-0.01632311,-0.03212293,0.003697271
-0.01579954,-0.03109258,0.00357868
-0.01500799,-0.02953485,0.003399389
-0.01608089,-0.03164626,0.003642408
-0.0165038,-0.03247853,0.003738199
-0.01929189,-0.03796531,0.004369715
-0.01813346,-0.0356856,0.004107325
-0.0188638,-0.03712286,0.004272751
-0.01829246,-0.03599851,0.004143341
-0.01867662,-0.03675451,0.004230354
-0.02053984,-0.04042122,0.004652384
-0.01816533,-0.03574831,0.004114544
-0.02069143,-0.04071952,0.004686718
-0.02092956,-0.04118815,0.004740656
-0.01750012,-0.03443922,0.00396387
-0.01807787,-0.03557619,0.004094733
-0.02431827,-0.04785695,0.005508218
-0.02467435,-0.0485577,0.005588872
-0.02746821,-0.05405585,0.006221697
-0.02781026,-0.05472898,0.006299173
-0.02782086,-0.05474985,0.006301574
-0.02491757,-0.04903633,0.005643962
-0.02535505,-0.04989726,0.005743054
-0.02801172,-0.05512543,0.006344803
-0.02900739,-0.05708487,0.006570329
-0.02564166,-0.05046131,0.005807973
-0.02229008,-0.04386558,0.005048822
-0.0232212,-0.04569797,0.005259725
-0.02463442,-0.04847911,0.005579828
-0.02106555,-0.04145578,0.00477146
-0.0182548,-0.03592438,0.004134809
-0.01631117,-0.03209943,0.003694566
-0.01685918,-0.03317789,0.003818695
-0.01485471,-0.0292332,0.003364671
-0.01358415,-0.02673282,0.003076883
-0.0108787,-0.02140865,0.002464083
-0.01084692,-0.02134611,0.002456885
-0.01108815,-0.02182083,0.002511525
-0.01456539,-0.02866383,0.003299138
-0.01524494,-0.03000116,0.003453061
-0.0153823,-0.03027148,0.003484173
-0.01571338,-0.03092302,0.003559164
-0.01613768,-0.03175801,0.00365527
-0.01836816,-0.03614748,0.004160487
-0.02064216,-0.04062256,0.004675558
-0.02077153,-0.04087716,0.004704862
-0.02049855,-0.04033995,0.00464303
-0.02658207,-0.05231196,0.006020979
-0.0296345,-0.05831898,0.006712373
-0.02966175,-0.05837261,0.006718545
-0.03227694,-0.06351914,0.007310898
-0.0342735,-0.06744825,0.00776313
-0.0315245,-0.06203839,0.007140468
-0.03143224,-0.06185682,0.00711957
-0.03112058,-0.06124349,0.007048977
-0.02536656,-0.04991991,0.005745661
-0.02620739,-0.05157462,0.005936114
-0.02403224,-0.04729405,0.005443431
-0.02038982,-0.04012597,0.004618402
-0.01820147,-0.03581944,0.00412273
-0.01757578,-0.03458812,0.003981008
-0.01787245,-0.03517195,0.004048206
-0.01541369,-0.03033325,0.003491283
-0.01772473,-0.03488124,0.004014746
-0.02000217,-0.03936311,0.004530598
-0.01756455,-0.03456601,0.003978464
-0.02064183,-0.04062192,0.004675484
-0.02226534,-0.04381689,0.005043217
-0.02248917,-0.04425738,0.005093916
-0.02479156,-0.04878835,0.00561542
-0.02381401,-0.04686459,0.005394001
-0.02274857,-0.04476786,0.005152671
-0.01999906,-0.039357,0.004529894
-0.01905338,-0.03749595,0.004315693
-0.01967102,-0.03871144,0.004455592
-0.01865993,-0.03672167,0.004226575
-0.01747958,-0.0343988,0.003959218
-0.01679626,-0.03305406,0.003804442
-0.01717254,-0.03379457,0.003889672
-0.01652185,-0.03251403,0.003742286
-0.01736068,-0.0341648,0.003932286
-0.01709403,-0.03364006,0.003871889
-0.01583485,-0.03116206,0.003586678
-0.01577352,-0.03104138,0.003572787
-0.01630868,-0.03209453,0.003694002
-0.01559728,-0.03069454,0.003532867
-0.01568224,-0.03086173,0.00355211
-0.01444446,-0.02842585,0.003271747
-0.01416901,-0.0278838,0.003209357
-0.01511844,-0.0297522,0.003424406
-0.01615437,-0.03179087,0.003659052
-0.01589245,-0.03127543,0.003599725
-0.01711113,-0.03367371,0.003875762
-0.01805768,-0.03553646,0.004090161
-0.01796587,-0.03535578,0.004069365
-0.01861599,-0.03663519,0.004216621
-0.01759136,-0.03461878,0.003984537
-0.02016368,-0.03968094,0.00456718
-0.01981987,-0.03900436,0.004489306
-0.01759906,-0.03463394,0.003986282
-0.01813091,-0.03568058,0.004106747
-0.01667261,-0.03281073,0.003776435
-0.01583157,-0.03115562,0.003585936
-0.01513096,-0.02977685,0.003427244
-0.01459397,-0.02872008,0.003305612
-0.01473579,-0.02899919,0.003337736
-0.01329603,-0.02616582,0.003011622
-0.01211574,-0.02384307,0.00274428
-0.01210675,-0.02382539,0.002742244
-0.01277297,-0.02513647,0.002893147
-0.01358384,-0.02673222,0.003076813
-0.0128846,-0.02535614,0.002918429
-0.01540589,-0.0303179,0.003489516
-0.01544093,-0.03038685,0.003497452
-0.01363547,-0.02683382,0.003088508
-0.01473092,-0.02898961,0.003336633
-0.01531403,-0.03013712,0.003468709
-0.01784339,-0.03511476,0.004041623
-0.01709898,-0.03364981,0.003873011
-0.01616921,-0.03182007,0.003662413
-0.01617055,-0.03182271,0.003662717
-0.01747913,-0.0343979,0.003959115
-0.01769492,-0.03482257,0.004007993
-0.01622051,-0.03192101,0.003674031
-0.0191509,-0.03768786,0.004337781
-0.01963704,-0.03864455,0.004447894
-0.01840854,-0.03622695,0.004169633
-0.01573423,-0.03096405,0.003563887
-0.01752409,-0.03448639,0.003969299
-0.01781891,-0.03506657,0.004036077
-0.01692667,-0.03331071,0.003833981
-0.01738526,-0.03421319,0.003937854
-0.01563263,-0.03076411,0.003540874
-0.01728388,-0.03401367,0.00391489
-0.01655329,-0.03257592,0.003749409
-0.01471439,-0.02895706,0.003332887
-0.01646812,-0.0324083,0.003730117
-0.017055,-0.03356324,0.003863048
-0.01788962,-0.03520573,0.004052094
-0.01815735,-0.03573261,0.004112736
-0.01668555,-0.0328362,0.003779366
-0.0158939,-0.03127827,0.003600053
-0.01685815,-0.03317586,0.003818461
-0.0173237,-0.03409203,0.003923909
-0.01558105,-0.0306626,0.003529191
-0.0157995,-0.0310925,0.003578671
-0.01663111,-0.03272907,0.003767036
-0.01482038,-0.02916565,0.003356895
-0.01530062,-0.03011074,0.003465672
-0.0141288,-0.02780466,0.003200249
-0.01324236,-0.02606019,0.002999465
-0.01297997,-0.02554382,0.002940032
-0.01215945,-0.02392909,0.00275418
-0.01107442,-0.02179382,0.002508416
-0.01312291,-0.02582512,0.002972408
-0.01399,-0.02753151,0.00316881
-0.01243939,-0.02447999,0.002817588
-0.01057739,-0.02081569,0.002395836
-0.01156168,-0.02275271,0.002618782
-0.01408578,-0.02772,0.003190504
-0.01479248,-0.02911074,0.003350575
-0.01456838,-0.02866973,0.003299816
-0.01543282,-0.03037089,0.003495615
-0.01594911,-0.03138692,0.003612559
-0.01414351,-0.02783361,0.003203581
-0.01450592,-0.0285468,0.003285668
-0.01479527,-0.02911623,0.003351207
-0.01413048,-0.02780797,0.00320063
-0.01472429,-0.02897655,0.003335131
-0.0149419,-0.02940479,0.00338442
-0.01360389,-0.02677166,0.003081353
-0.01317804,-0.02593362,0.002984896
-0.01376374,-0.02708624,0.003117561
-0.01439342,-0.02832541,0.003260185
-0.01469511,-0.02891912,0.00332852
-0.01423807,-0.02801969,0.003224998
-0.0133351,-0.02624271,0.003020472
-0.01659301,-0.03265409,0.003758406
-0.01641012,-0.03229417,0.00371698
-0.01700077,-0.03345652,0.003850765
0.01458214,0.03933318,-0.005537631
0.01401098,0.03779257,-0.005320733
-0.01531682,-0.04310356,0.004874336
-0.01517703,-0.04271017,0.004829849
0.0167486,0.04716253,-0.004029397
0.01605274,0.04520304,-0.003861985
-0.01622832,-0.04623907,0.003014097
-0.01634005,-0.04655744,0.00303485
0.01335001,0.0443586,-0.000473759
-0.0136557,-0.0472377,0.000199033
-0.01410896,-0.0488056,0.00020564
-0.01361817,-0.04710786,0.000198486
-0.01136263,-0.0393055,0.000165611
-0.01124253,-0.03889008,0.000163861
-0.01120172,-0.03874889,0.000163266
-0.0125067,-0.04326309,0.000182286
-0.01182755,-0.04091378,0.000172388
-0.009638811,-0.0333425,0.000140487
-0.01122442,-0.03882744,0.000163597
-0.01189456,-0.04114556,0.000173364
-0.01148513,-0.03972926,0.000167397
-0.01257935,-0.04351437,0.000183345
-0.01301304,-0.04501459,0.000189666
-0.01214111,-0.04199842,0.000176958
-0.01070652,-0.03703591,0.000156049
-0.01098192,-0.03798856,0.000160063
-0.01119079,-0.0387111,0.000163107
-0.01028094,-0.03556376,0.000149846
-0.008553118,-0.02958688,0.000124663
-0.008002934,-0.02768369,0.000116644
-0.007872204,-0.02723147,0.000114738
-0.006740661,-0.02331724,9.82E-05
-0.006932888,-0.02398219,0.000101048
-0.005759563,-0.01992343,8.39E-05
-0.005346697,-0.01849525,7.79E-05
-0.007035005,-0.02433543,0.000102536
-0.006309009,-0.02182407,9.20E-05
-0.008589976,-0.02971438,0.0001252
-0.009009992,-0.03116729,0.000131322
-0.007741122,-0.02677803,0.000112828
-0.008862118,-0.03065577,0.000129166
-0.01017593,-0.0352005,0.000148315
-0.01034397,-0.03578176,0.000150764
-0.01183618,-0.04094362,0.000172514
0.01289176,0.04450224,-5.99E-05
0.0122702,0.04235663,-5.70E-05
0.00950557,0.03281314,-4.41E-05
0.01124908,0.03883173,-5.22E-05
-0.0127359,-0.04490245,-0.000604273
-0.01248275,-0.04400994,-0.000592262
-0.01119309,-0.03946303,-0.000531072
-0.01022916,-0.03606455,-0.000485337
-0.01033671,-0.03644374,-0.00049044
-0.01078372,-0.03801975,-0.000511649
-0.01034222,-0.03646317,-0.000490701
-0.01141875,-0.04025863,-0.000541779
-0.01111714,-0.03919525,-0.000527468
-0.01045293,-0.03685348,-0.000495954
-0.008647406,-0.03048781,-0.000410288
-0.009585083,-0.03379374,-0.000454778
-0.01154352,-0.04069852,-0.000547699
-0.0108404,-0.03821958,-0.000514338
-0.01026581,-0.03619376,-0.000487076
-0.009818153,-0.03461547,-0.000465836
-0.01020576,-0.03598205,-0.000484227
-0.01012933,-0.03571256,-0.0004806
-0.01032131,-0.03638944,-0.000489709
-0.008854198,-0.0312169,-0.0004201
-0.009992382,-0.03522975,-0.000474103
-0.008802815,-0.03103574,-0.000417662
-0.01013166,-0.03572078,-0.000480711
-0.01115278,-0.03932092,-0.00052916
-0.01177938,-0.04153011,-0.00055889
-0.01201702,-0.04236792,-0.000570164
-0.01223306,-0.04312962,-0.000580415
-0.01104927,-0.03895596,-0.000524248
-0.01186254,-0.04182329,-0.000562835
-0.01157778,-0.04081932,-0.000549324
0.01287762,0.04624392,0.00051211
0.01143459,0.04106195,0.000454724
0.01138207,0.04087336,0.000452636
0.01256953,0.04513757,0.000499858
0.0123569,0.044374,0.000491402
0.01187089,0.04262871,0.000472075
0.01199132,0.04306118,0.000476864
0.01083038,0.03889221,0.000430696
0.009827208,0.03528979,0.000390803
0.01085241,0.03897132,0.000431572
-0.01256615,-0.04381676,-4.03E-06
-0.01109601,-0.03869053,-3.56E-06
-0.00964855,-0.03364341,-3.10E-06
-0.009349367,-0.03260019,-3.00E-06
-0.009892595,-0.03449436,-3.17E-06
-0.009676649,-0.03374138,-3.10E-06
-0.01001584,-0.0349241,-3.21E-06
-0.00980194,-0.03417826,-3.14E-06
-0.009383845,-0.03272041,-3.01E-06
-0.008218712,-0.02865772,-2.64E-06
-0.008266874,-0.02882566,-2.65E-06
-0.008885123,-0.03098142,-2.85E-06
-0.008643262,-0.03013808,-2.77E-06
-0.007958449,-0.02775022,-2.55E-06
-0.007591812,-0.02647179,-2.44E-06
-0.008183545,-0.0285351,-2.63E-06
-0.008123238,-0.02832481,-2.61E-06
-0.008604283,-0.03000217,-2.76E-06
-0.009400986,-0.03278018,-3.02E-06
-0.00832231,-0.02901896,-2.67E-06
-0.007664389,-0.02672486,-2.46E-06
-0.00816769,-0.02847981,-2.62E-06
0.009769343,0.03401656,-6.21E-06
0.01093479,0.03807461,-6.95E-06
0.01015926,0.03537424,-6.46E-06
0.01250134,0.0435293,-7.95E-06
0.01287253,0.04482178,-8.18E-06
0.01204407,0.04193709,-7.66E-06
-0.01188772,-0.04111711,-0.000115556
0.01488826,0.05133488,0.000238936
-0.01667093,-0.05694354,-0.000589521
-0.01602013,-0.05472058,-0.000566508
-0.01568137,-0.05356347,-0.000554528
0.01716926,0.05855417,0.000709483
0.01728408,0.05894575,0.000714228
0.01606254,0.05477982,0.000663751
-0.01460482,-0.05098905,-0.001334716
0.01385389,0.05396938,0.003572462
0.01447539,0.05639048,0.003732725
0.01314599,0.05121167,0.003389917
-0.01215741,-0.04914463,-0.003445619
0.01025214,0.04779844,0.00419911
0.009844189,0.04589646,0.00403202
0.009116811,0.04250521,0.003734098
0.008313608,0.03876045,0.00340512
0.007278481,0.03393438,0.002981148
0.006124314,0.02855333,0.00250842
0.005964628,0.02780882,0.002443015
0.006223654,0.02901648,0.002549108
0.005526722,0.02576718,0.002263656
0.005722816,0.02668142,0.002343973
0.006795666,0.03168336,0.002783395
0.007616646,0.03551101,0.003119655
0.007840937,0.03655672,0.003211521
0.007600473,0.03543561,0.003113031
0.007247805,0.03379136,0.002968584
0.006814037,0.03176901,0.002790919
0.007438912,0.03468236,0.003046858
0.007074742,0.03298449,0.0028977
0.007067535,0.03295089,0.002894748
0.006341841,0.02956749,0.002597515
0.006226599,0.02903021,0.002550314
0.006533022,0.03045884,0.00267582
0.006113278,0.02850187,0.0025039
0.00649728,0.0302922,0.002661181
0.005723371,0.02668401,0.0023442
0.006319367,0.02946272,0.00258831
0.00629858,0.0293658,0.002579797
0.006846771,0.03192163,0.002804327
0.00704908,0.03286485,0.002887189
0.006512656,0.03036389,0.002667479
0.006667946,0.0310879,0.002731083
0.007857694,0.03663484,0.003218384
0.00935029,0.04359376,0.003829727
0.009280272,0.04326731,0.003801049
0.01069984,0.04988576,0.004382482
0.01118399,0.05214301,0.004580782
0.009910611,0.04620614,0.004059226
0.007879791,0.03673786,0.003227435
0.009956139,0.0464184,0.004077874
0.01059697,0.04940616,0.004340349
0.01019465,0.04753039,0.004175562
0.00921522,0.04296402,0.003774405
0.007720647,0.03599589,0.003162252
0.008471093,0.03949469,0.003469623
0.008727699,0.04069106,0.003574724
0.00929203,0.04332213,0.003805865
0.009515253,0.04436286,0.003897293
0.008041027,0.03748959,0.003293474
0.007472287,0.03483796,0.003060528
0.006615174,0.03084186,0.002709468
0.008329345,0.03883382,0.003411565
0.007712739,0.03595902,0.003159013
0.006503297,0.03032025,0.002663645
0.006646947,0.03098999,0.002722482
0.006563997,0.03060325,0.002688507
0.006234828,0.02906857,0.002553685
0.006044775,0.02818249,0.002475842
0.006030336,0.02811517,0.002469928
0.006235646,0.02907239,0.002554019
0.007591462,0.03539359,0.00310934
0.00748865,0.03491426,0.00306723
0.006897521,0.03215824,0.002825113
0.007914894,0.03690153,0.003241813
0.007429537,0.03463865,0.003043018
0.009787338,0.0456314,0.004008735
-0.01211138,-0.05350358,-0.006181926
-0.01200569,-0.05303669,-0.006127979
-0.01325309,-0.05854723,-0.00676468
-0.01255125,-0.05544677,-0.006406446
0.02020901,0.06030327,0.000876423
0.02048853,0.06113734,0.000888545
-0.03165901,-0.05173529,0.01355494
0.04719821,0.035879,-0.01622877
0.04250852,0.03231401,-0.01461625
0.04030452,0.03063857,-0.01385842
0.03512579,0.02670182,-0.01207775
0.03526038,0.02680414,-0.01212403
0.03270955,0.02486506,-0.01124695
0.03252953,0.0247282,-0.01118505
0.03163625,0.02404915,-0.0108779
0.02843138,0.02161289,-0.009775928
0.02761339,0.02099107,-0.009494668
0.03680759,0.02798029,-0.01265603
0.0379921,0.02888072,-0.01306331
0.005116503,0.05428268,0.00340293
-0.00801183,-0.05528019,-0.00076738
-0.008433241,-0.05818785,-0.000807743
0.03317162,0.0418703,-0.03124253
0.03377224,0.04262842,-0.03180822
0.03375376,0.04260509,-0.03179082
-0.03150807,-0.03961664,0.02942797
0.02791316,0.04324026,-0.02433018
0.02791859,0.04324867,-0.02433491
-0.01698234,-0.04779578,0.01655253
-0.01673161,-0.04709012,0.01630815
0.01351029,0.0483541,-0.01328006
-0.009729222,-0.0511836,0.0095208
-0.009600515,-0.05050651,0.009394851
-0.008402714,-0.0442051,0.008222708
-0.007902906,-0.0415757,0.007733608
-0.007652747,-0.04025966,0.007488808
-0.00767343,-0.04036847,0.007509047
-0.006957133,-0.03660017,0.006808096
-0.005486111,-0.0288614,0.005368586
-0.005557248,-0.02923563,0.005438199
-0.005849916,-0.03077531,0.005724598
-0.005651697,-0.02973251,0.005530625
-0.005006796,-0.02633981,0.004899539
-0.004937802,-0.02597684,0.004832022
-0.006003784,-0.03158478,0.00587517
-0.005358168,-0.02818831,0.005243384
-0.00647785,-0.03407875,0.00633908
-0.006972309,-0.03668,0.006822946
-0.008540401,-0.04492944,0.008357447
-0.007527758,-0.03960212,0.007366496
-0.006583075,-0.03463231,0.00644205
-0.008463089,-0.04452272,0.008281792
-0.01067887,-0.05617953,0.01045011
-0.01095245,-0.05761876,0.01071782
0.01228824,0.06282912,-0.01054774
0.01180719,0.06036955,-0.01013483
-0.0169615,-0.06699201,0.007687948
-0.01633869,-0.06453214,0.007405655
-0.01556768,-0.06148693,0.007056189
-0.01541597,-0.06088771,0.006987424
-0.01364259,-0.05388349,0.006183625
0.01953611,0.05409177,0.01042754
0.01694616,0.04692071,0.009045138
0.01674394,0.04636078,0.008937198
0.01448506,0.04010639,0.007731507
0.01359309,0.03763669,0.007255412
-0.03544717,-0.0163537,-0.02465483
-0.03367212,-0.01553477,-0.02342022
-0.03501165,-0.01615277,-0.02435192
-0.03502272,-0.01615788,-0.02435962
-0.03822242,-0.01763407,-0.02658512
-0.03724629,-0.01718373,-0.02590619
0.03815781,0.0171637,0.03274964
0.03706148,0.01667057,0.0318087
0.03244484,0.01459396,0.02784638
-0.03876117,0.03210087,-0.003181275
-0.01558482,0.0524727,0.0113774
-0.0150385,0.05063329,0.01097857
-0.007795524,0.05796205,0.02093742
-0.005953275,0.07434016,0.01907307
0.001775204,0.1062497,0.01036132
-0.000288454,0.1259366,0.01365007
-0.01946655,0.1693125,0.0268314
-0.02066091,0.1846057,0.02775751
-0.02413782,0.2193398,0.02019044
-0.02536234,0.2413029,0.02204095
-0.03910639,0.2945656,0.02566395
-0.0405964,0.3019683,0.02425385
-0.04458576,0.3275183,0.01240568
-0.04322262,0.3373654,0.009961097
-0.04586327,0.3578004,0.002765696
-0.0474291,0.3659766,0.001745872
-0.04277276,0.3841152,-0.0164601
-0.04325562,0.386862,-0.01975868
-0.03924779,0.3713742,-0.03816688
-0.03940786,0.3745077,-0.03864144
-0.03001583,0.3774153,-0.05979272
-0.02994605,0.3628024,-0.0601006
-0.0336398,0.3414586,-0.06760554
-0.03179918,0.331178,-0.06902412
-0.02449598,0.3207401,-0.07828566
-0.02215613,0.2967834,-0.07500029
-0.01952917,0.2652343,-0.07456332
-0.01768216,0.2579215,-0.07519245
-0.01476079,0.2113338,-0.06832592
-0.01184723,0.1942278,-0.06375451
-0.01109366,0.1650138,-0.04932564
-0.008736943,0.1533214,-0.04936458
-0.009055929,0.121032,-0.03894189
-0.008560576,0.108315,-0.0334971
-0.008039952,0.08945506,-0.01491525
0.02514483,0.01842757,0.08144374
0.01153723,-0.01326862,0.08094586
0.009767728,-0.0396532,0.08260561
0.004457674,-0.01744311,0.1043747
0.005168223,-0.01896936,0.1094021
0.005976101,-0.04232318,0.1167754
0.007776307,-0.04584329,0.1296415
0.005609358,-0.05592228,0.14263
0.005781354,-0.06128332,0.1543432
0.003736105,-0.09253133,0.1658983
0.004902116,-0.09683295,0.1725714
0.00982943,-0.08454441,0.1817938
0.009053671,-0.08846678,0.1846299
0.01053174,-0.09347629,0.184843
0.01118727,-0.0938307,0.1848588
0.0170839,-0.08854324,0.1953228
0.01985955,-0.08858703,0.1979572
0.03589546,-0.07954749,0.2073175
0.03647974,-0.07975042,0.2070873
0.04362912,-0.07392507,0.2039917
0.04528145,-0.0715671,0.2025885
0.05304244,-0.06294689,0.201135
0.0542394,-0.06205171,0.1990603
0.05876716,-0.06483219,0.1896437
0.05894564,-0.06109802,0.1829075
0.05957893,-0.06054896,0.1681809
0.05752531,-0.05795775,0.1597998
0.052138,-0.05248459,0.1335439
0.05034281,-0.04953872,0.1239027
0.04426443,-0.04828781,0.1054019
0.04087861,-0.0446036,0.09354489
0.03185468,-0.03455873,0.07196091
0.02742795,-0.03638123,0.06679739
-0.01968032,-0.08818056,0.008111737
-0.02327883,-0.0855623,0.01014064
-0.03019014,-0.09056742,-0.003174371
-0.04419345,-0.1053149,0.00144512
-0.05145195,-0.1454155,-0.02135296
-0.05490487,-0.1557991,-0.02293155
-0.06405337,-0.1720438,-0.02897001
-0.06464627,-0.1857314,-0.03576827
-0.05284956,-0.2087464,-0.03910108
-0.0538089,-0.2105482,-0.04254676
-0.05719887,-0.2235761,-0.05237149
-0.06145679,-0.2555913,-0.05565134
-0.04511225,-0.2157759,-0.05544062
-0.04429538,-0.2186673,-0.05571299
-0.04859584,-0.2143257,-0.05550077
-0.04639598,-0.2098871,-0.05508487
-0.03632963,-0.177549,-0.04915927
-0.03636674,-0.1706224,-0.04696752
-0.03664925,-0.1507939,-0.04576102
-0.03593283,-0.1444456,-0.04394329
-0.03252089,-0.1183795,-0.04638326
-0.02864741,-0.1101449,-0.04662449
-0.02248167,-0.09050371,-0.05555572
-0.0220506,-0.07965721,-0.0527733
-0.0203318,-0.06324101,-0.06501077
-0.01923708,-0.05668875,-0.06986187
-0.01634334,-0.04693938,-0.07265244
-0.01502006,-0.045607,-0.07330963
-0.01028311,-0.0476734,-0.07728294
-0.01016333,-0.04397095,-0.07624554
-0.009780609,-0.04143699,-0.07099107
-0.01346176,-0.04410294,-0.07377224
-0.01963018,-0.04483259,-0.07663233
-0.02062899,-0.0495813,-0.07773089
-0.02557208,-0.05091048,-0.07269266
-0.02741733,-0.05430399,-0.07517228
-0.02571839,-0.05826531,-0.07264222
-0.0274232,-0.05986739,-0.07156021
-0.03478015,-0.06013351,-0.06506875
-0.03443136,-0.06097778,-0.06394613
-0.03394094,-0.06442619,-0.05832605
-0.03250444,-0.06019534,-0.05442115
-0.03820261,-0.05708234,-0.05247258
-0.03619918,-0.05210029,-0.04659146
-0.03496684,-0.03846813,-0.03854636
-0.03332178,-0.03964058,-0.03756412
-0.04115442,-0.04126479,-0.04308679
-0.03704627,-0.03313761,-0.03753266
-0.02886727,0.01075779,-0.04588186
-0.0270783,0.0100911,-0.04303845
-0.0329708,-0.03534649,-0.03257739
-0.03039039,-0.03258016,-0.03002777
-0.02871663,-0.03078579,-0.02837398
-0.02672553,-0.03722507,-0.03617003
-0.01479737,-0.05116957,-0.0173129
-0.01249177,-0.04856792,-0.01347568
-0.01336026,-0.05194464,-0.01441258
-0.01155404,-0.0480841,-0.01434051
-0.009919688,-0.04128245,-0.012312
-0.01059007,-0.04407237,-0.01314406
-0.01184675,-0.0493212,-0.01471346
-0.01068776,-0.04449603,-0.01327402
-0.01073451,-0.04461732,-0.01371802
-0.01012626,-0.04208917,-0.01294072
-0.01102831,-0.04501762,-0.01269461
-0.01123049,-0.04584291,-0.01292734
-0.01181665,-0.0486349,-0.01358867
-0.01725179,-0.04861049,-0.01624847
-0.01598212,-0.04503296,-0.01505265
-0.01531027,-0.04551301,-0.01477727
-0.01428149,-0.04245474,-0.0137843
-0.01410726,-0.04193681,-0.01361614
-0.03526751,-0.01568284,-0.02418414
-0.03256238,-0.01447991,-0.02232914
-0.03071328,-0.02164534,-0.0225423
-0.02914161,-0.0205377,-0.02138876
-0.02592692,-0.01827213,-0.0190293
-0.02456734,-0.01731396,-0.01803143
-0.02560908,-0.0200034,-0.02407089
-0.02424877,-0.01894086,-0.02279229
-0.02540726,-0.02006302,-0.02573917
-0.02632729,-0.02078953,-0.02667121
-0.02376807,-0.02110773,-0.02819092
-0.02416827,-0.02146314,-0.0286656
-0.02274354,-0.02019787,-0.02697574
0.001647433,-0.02163393,-0.03856277
0.001520631,-0.01996879,-0.03559463
0.001459112,-0.01916093,-0.03415461
0.008976989,-0.01444974,-0.03312693
0.01042616,-0.0170212,-0.03819615
0.01011173,-0.01650788,-0.03704425
0.009499802,-0.01550888,-0.03480245
0.009826081,-0.01606555,-0.03599392
0.009799339,-0.01602183,-0.03589596
0.009206443,-0.01505245,-0.03372412
0.008824985,-0.01442877,-0.0323268
0.003614996,-0.01519835,-0.03680145
0.003442225,-0.01447198,-0.0350426
0.003074969,-0.01292794,-0.03130385
0.0032323,-0.0135894,-0.03290552
0.0036013,-0.01514077,-0.03666201
0.0041279,-0.01735472,-0.04202292
0.003796084,-0.01595969,-0.03864496
0.004150637,-0.01745032,-0.0422544
