Position X,Position Y,Position Z,Rotation X
-1.464979,0.7453996,-1.062552,69.73147
-1.464951,0.7453827,-1.062545,69.73114
-1.464848,0.7450483,-1.062361,69.70963
-1.464848,0.7450483,-1.062361,69.70963
-1.464772,0.745095,-1.062487,69.72985
-1.46524,0.7456641,-1.062606,69.74847
-1.465572,0.7453305,-1.062833,69.73883
-1.465382,0.7455583,-1.062774,69.75024
-1.465681,0.7458267,-1.062745,69.7686
-1.465725,0.7458582,-1.06275,69.75114
-1.465537,0.7453836,-1.062809,69.72614
-1.465543,0.7453452,-1.06281,69.73559
-1.465545,0.7453003,-1.062737,69.74413
-1.465545,0.7457116,-1.062573,69.73636
-1.465611,0.7455587,-1.062529,69.72444
-1.465651,0.7454196,-1.062613,69.72668
-1.465462,0.7458402,-1.062587,69.73031
-1.465571,0.7459674,-1.062668,69.7217
-1.465594,0.7453138,-1.0627,69.73394
-1.465307,0.7455597,-1.06274,69.72825
-1.465518,0.7457281,-1.062605,69.72501
-1.465525,0.7457384,-1.062603,69.72952
-1.465428,0.745226,-1.062668,69.72268
-1.465263,0.7455997,-1.062727,69.72228
-1.465674,0.745842,-1.06271,69.73175
-1.465562,0.7453358,-1.062871,69.72645
-1.465557,0.7452881,-1.062928,69.72838
-1.46555,0.7452765,-1.062948,69.74096
-1.465551,0.7452357,-1.062999,69.74051
-1.465563,0.7452055,-1.063028,69.73804
-1.465582,0.7451788,-1.063077,69.74888
-1.465741,0.7453423,-1.062596,69.7508
-1.465466,0.7453989,-1.062643,69.72697
-1.465517,0.7455328,-1.062656,69.73192
-1.465651,0.7453891,-1.062651,69.75219
-1.465672,0.7453583,-1.062661,69.74125
-1.465445,0.745697,-1.062829,69.72885
-1.465569,0.7458268,-1.062728,69.74556
-1.465683,0.7454017,-1.062763,69.75372
-1.465469,0.7456205,-1.062751,69.74588
-1.46559,0.7458057,-1.062827,69.7533
-1.465382,0.7457479,-1.06299,69.74747
-1.465567,0.7455001,-1.062839,69.75031
-1.465187,0.7459522,-1.062515,69.74614
-1.465535,0.7460817,-1.06249,69.74737
-1.465656,0.7452706,-1.062622,69.73232
-1.465605,0.7452142,-1.062645,69.74535
-1.465699,0.7460326,-1.062436,69.75077
-1.465641,0.7459451,-1.062746,69.74362
-1.465539,0.7452543,-1.062749,69.73329
-1.465031,0.7456951,-1.062693,69.73035
-1.465419,0.7458372,-1.062746,69.73441
-1.465042,0.7456521,-1.062919,69.7174
-1.46534,0.7454654,-1.062874,69.73689
-1.465357,0.7456673,-1.062788,69.74111
-1.465821,0.7456528,-1.062683,69.7436
-1.465688,0.745425,-1.062678,69.73701
-1.465507,0.745546,-1.062618,69.74043
-1.465745,0.7456374,-1.062526,69.75305
-1.465535,0.745544,-1.062759,69.72836
-1.465608,0.7456987,-1.062635,69.72651
-1.465442,0.7454324,-1.062654,69.72202
-1.465442,0.7456337,-1.062757,69.72162
-1.465639,0.7456867,-1.06272,69.73705
-1.465639,0.7456867,-1.06272,69.73705
-1.465888,0.7454932,-1.062723,69.75197
-1.465405,0.7458732,-1.062848,69.73676
-1.465503,0.7459217,-1.062663,69.74521
-1.465255,0.7453274,-1.062737,69.73959
-1.465199,0.7452705,-1.062767,69.74262
-1.46514,0.7452099,-1.062786,69.73258
-1.465258,0.7450023,-1.062705,69.73844
-1.465497,0.7456324,-1.062799,69.76411
-1.465465,0.7456688,-1.062722,69.75625
-1.465552,0.7457107,-1.062535,69.75534
-1.46544,0.7454568,-1.062552,69.75716
-1.465575,0.7453333,-1.062623,69.75757
-1.465448,0.7457583,-1.062655,69.75219
-1.465498,0.7456399,-1.062663,69.75896
-1.46546,0.7455583,-1.062641,69.75414
-1.465375,0.7455881,-1.062516,69.75056
-1.465579,0.745423,-1.062604,69.76058
-1.465462,0.745461,-1.062677,69.74172
-1.465479,0.7457188,-1.062692,69.75845
-1.465374,0.7455556,-1.062672,69.77013
-1.465404,0.7456148,-1.062719,69.76553
-1.465119,0.7458197,-1.062667,69.76244
-1.465419,0.7459854,-1.062564,69.78996
-1.465437,0.7453867,-1.06267,69.80854
-1.465387,0.745957,-1.062786,69.80885
-1.465543,0.7464037,-1.062788,69.88808
-1.465499,0.7464527,-1.062975,69.94661
-1.465374,0.7462459,-1.063097,70.05544
-1.464797,0.7482264,-1.063694,70.56808
-1.464496,0.7491322,-1.064033,70.72806
-1.463905,0.7498406,-1.064409,70.82514
-1.463351,0.7532872,-1.065106,70.77673
-1.462977,0.7550488,-1.065382,70.7106
-1.462708,0.7581967,-1.065919,70.49253
-1.462494,0.7602963,-1.066102,70.36338
-1.46162,0.7652056,-1.066511,69.78895
-1.46203,0.7678419,-1.066807,69.48869
-1.461989,0.7728087,-1.067282,69.19367
-1.462153,0.7761501,-1.067315,69.13749
-1.462473,0.7837956,-1.066774,69.02746
-1.462735,0.7877342,-1.066367,68.79845
-1.463077,0.7962375,-1.065055,67.95393
-1.463138,0.801587,-1.06412,67.32582
-1.463761,0.8124678,-1.061591,66.14618
-1.463804,0.824681,-1.058065,65.14171
-1.463606,0.831283,-1.055803,64.58093
-1.463585,0.8376613,-1.053766,63.9541
-1.463328,0.853211,-1.048188,62.53804
-1.462814,0.8693182,-1.042007,61.02202
-1.462681,0.8774222,-1.038837,60.25561
-1.462662,0.8951449,-1.03226,58.60443
-1.462662,0.8951449,-1.03226,58.60443
-1.462477,0.912781,-1.024795,56.99854
-1.462572,0.9305217,-1.016931,55.46621
-1.462869,0.9399792,-1.012798,54.75231
-1.463478,0.9585289,-1.004362,53.39835
-1.463668,0.9678348,-1.000052,52.81473
-1.464331,0.9863265,-0.9910872,51.83487
-1.464975,0.9955571,-0.9862472,51.56363
-1.465521,1.004415,-0.9815238,51.28539
-1.466628,1.022003,-0.9720502,50.97205
-1.468102,1.038695,-0.9622784,50.87193
-1.468941,1.046988,-0.9572048,50.92105
-1.470869,1.062183,-0.9473315,51.26532
-1.471879,1.069687,-0.9424655,51.41884
-1.474122,1.084092,-0.9329978,52.00719
-1.47551,1.090811,-0.9286447,52.28911
-1.477897,1.104489,-0.920105,52.78059
-1.479362,1.110855,-0.9159594,53.14452
-1.481686,1.122616,-0.9080516,53.79455
-1.483972,1.134161,-0.9005856,54.29214
-1.485176,1.139687,-0.896939,54.54595
-1.486975,1.149603,-0.8902383,55.07613
-1.488219,1.154294,-0.8870631,55.34695
-1.489521,1.159409,-0.8839802,55.71351
-1.492487,1.167736,-0.8779308,56.51287
-1.495158,1.174661,-0.8718284,57.57565
-1.496356,1.178355,-0.8687627,58.08969
-1.497487,1.181521,-0.8656765,58.67422
-1.500001,1.187313,-0.8592763,59.90579
-1.501065,1.189435,-0.8564468,60.52901
-1.502858,1.194511,-0.85098,61.90157
-1.503293,1.198694,-0.846018,63.30532
-1.503447,1.199536,-0.8436144,64.01481
-1.503846,1.201774,-0.8388425,65.37661
-1.503489,1.202562,-0.8370905,65.97913
-1.504112,1.203487,-0.8353568,66.60365
-1.505796,1.203424,-0.8314263,67.81347
-1.505781,1.20333,-0.8282446,68.74177
-1.505737,1.203009,-0.8271033,69.0487
-1.505541,1.202262,-0.8258578,69.4356
-1.506134,1.201255,-0.8237102,70.20333
-1.506438,1.200482,-0.823037,70.53431
-1.506542,1.199261,-0.8217233,71.03461
-1.506894,1.198552,-0.8207119,71.20702
-1.506733,1.197327,-0.8195289,71.44408
-1.506418,1.196488,-0.8190828,71.55116
-1.505847,1.195369,-0.8182116,71.80869
-1.505422,1.194929,-0.817864,71.91192
-1.503863,1.193596,-0.8180264,72.00634
-1.503646,1.193216,-0.8177122,72.00017
-1.50408,1.192727,-0.8166477,72.15623
-1.503862,1.192536,-0.8164501,72.23634
-1.502851,1.192203,-0.8168611,72.30724
-1.503089,1.192146,-0.8167016,72.32464
-1.502935,1.19255,-0.8161993,72.36789
-1.502656,1.192165,-0.816537,72.35097
-1.502259,1.193363,-0.8160492,72.41331
-1.50265,1.193321,-0.8156838,72.42778
-1.502462,1.19417,-0.8163842,72.20231
-1.502465,1.194872,-0.816532,72.06572
-1.503266,1.197095,-0.8161755,71.76311
-1.503857,1.197656,-0.8165095,71.59152
-1.504359,1.199207,-0.8173894,71.40905
-1.505066,1.200993,-0.8172137,71.27236
-1.505795,1.202018,-0.8174222,71.08546
-1.506474,1.203849,-0.8183026,70.74771
-1.507692,1.206093,-0.8190629,70.30031
-1.508116,1.207488,-0.8193046,70.10107
-1.509162,1.208789,-0.8201869,69.80612
-1.509594,1.209766,-0.8207735,69.67756
-1.510414,1.211542,-0.8214668,69.45102
-1.510838,1.211621,-0.8215935,69.39547
-1.511435,1.212313,-0.8220588,69.27902
-1.511694,1.213022,-0.8221653,69.25167
-1.512389,1.214079,-0.8227213,69.19786
-1.512774,1.213646,-0.8228828,69.19032
-1.513044,1.213886,-0.8232608,69.21955
-1.513139,1.214288,-0.8235821,69.22075
-1.513719,1.21338,-0.8235918,69.2131
-1.513852,1.213175,-0.8236233,69.17965
-1.513274,1.212871,-0.823715,69.15447
-1.513262,1.212466,-0.8240138,69.15087
-1.513966,1.21097,-0.8234086,69.17581
-1.513922,1.210315,-0.8234019,69.19782
-1.512917,1.209244,-0.8239673,69.14389
-1.512638,1.208333,-0.8242687,69.00407
-1.513052,1.206333,-0.8245841,68.59185
-1.513073,1.205344,-0.825152,68.37735
-1.512295,1.202763,-0.8273596,68.11145
-1.512288,1.201111,-0.8282844,67.89406
-1.512708,1.196347,-0.8300357,67.15788
-1.511559,1.194104,-0.8321818,66.66732
-1.510783,1.188566,-0.8359292,65.5484
-1.511095,1.185285,-0.8376321,64.89109
-1.509702,1.178811,-0.8431701,63.47759
-1.509462,1.175179,-0.8457747,62.70155
-1.508524,1.166954,-0.8523099,61.3932
-1.507832,1.162753,-0.8557717,60.80173
-1.50544,1.153867,-0.8646358,59.34384
-1.50482,1.149121,-0.8684518,58.65852
-1.503216,1.138697,-0.8784753,57.53027
-1.502481,1.133685,-0.8836833,56.92
-1.500369,1.121917,-0.8943158,55.90327
-1.499489,1.116117,-0.8999242,55.44624
-1.497591,1.104764,-0.9112622,54.57759
-1.496239,1.098276,-0.9172862,54.19843
-1.494305,1.085038,-0.9286357,53.74664
-1.493245,1.078565,-0.9342742,53.44957
-1.491647,1.071527,-0.9407815,53.28102
-1.488698,1.058109,-0.9523865,53.08778
-1.486444,1.044013,-0.963627,53.0418
-1.485025,1.036343,-0.9694992,53.22752
-1.48235,1.021518,-0.9807481,53.81255
-1.481151,1.013037,-0.9860358,54.1511
-1.478428,0.9973046,-0.9965812,55.40494
-1.477456,0.9897485,-1.001192,56.14816
-1.474156,0.9739294,-1.010793,57.41558
-1.472662,0.9661264,-1.015308,58.15137
-1.469746,0.9498986,-1.024692,59.80974
-1.468557,0.9437574,-1.02906,60.86584
-1.466459,0.9281747,-1.036215,63.0751
-1.465152,0.9207984,-1.039798,64.04429
-1.461911,0.9072804,-1.046052,65.9254
-1.460355,0.9003117,-1.04887,66.75266
-1.457698,0.886534,-1.054454,68.59467
-1.456298,0.8791122,-1.057267,69.57984
-1.454263,0.8669702,-1.061959,71.49165
-1.453092,0.86084,-1.063357,72.34705
-1.450298,0.8483207,-1.065988,73.74028
-1.448483,0.841336,-1.067169,74.41481
-1.445392,0.8313124,-1.069728,75.89356
-1.44441,0.8260306,-1.070518,76.68896
-1.441906,0.8139789,-1.072866,78.01355
-1.441145,0.8096088,-1.074009,78.62393
-1.439512,0.8001562,-1.075256,79.54726
-1.438448,0.7954601,-1.075943,79.98571
-1.436206,0.7870419,-1.076907,80.68329
-1.435577,0.7833018,-1.077229,81.06184
-1.434811,0.7758293,-1.078077,81.75828
-1.434449,0.7722045,-1.078367,81.94946
-1.434252,0.7661058,-1.079114,81.94135
-1.434563,0.7633297,-1.079528,81.67525
-1.435084,0.7588816,-1.080224,81.04108
-1.43531,0.7570286,-1.080296,80.82356
